"Dataset","Package","DeepTyper type checks","LambdaNet type checks","InCoder type checks","SantaCoder type checks"
top1k-typed-nodeps,ini,0,NA,0,0
top1k-typed-nodeps,interpret,0,0,0,0
top1k-typed-nodeps,invert-kv,0,NA,1,0
top1k-typed-nodeps,ip,0,0,0,0
top1k-typed-nodeps,ip-regex,0,0,1,1
top1k-typed-nodeps,ipaddr.js,NA,0,0,0
top1k-typed-nodeps,is-absolute-url,0,1,0,1
top1k-typed-nodeps,is-buffer,1,0,0,1
top1k-typed-nodeps,is-callable,0,0,0,0
top1k-typed-nodeps,is-directory,1,0,0,0
top1k-typed-nodeps,is-docker,1,1,1,1
top1k-typed-nodeps,is-fullwidth-code-point,1,1,1,1
top1k-typed-nodeps,is-generator-fn,1,1,1,1
top1k-typed-nodeps,is-interactive,1,0,0,0
top1k-typed-nodeps,is-number,0,0,0,0
top1k-typed-nodeps,is-obj,1,1,1,1
top1k-typed-nodeps,is-path-cwd,1,1,0,1
top1k-typed-nodeps,is-path-inside,1,0,0,1
top1k-typed-nodeps,is-plain-obj,0,NA,0,0
top1k-typed-nodeps,is-plain-object,1,0,1,1
top1k-typed-nodeps,is-promise,1,0,0,1
top1k-typed-nodeps,is-stream,1,0,0,0
top1k-typed-nodeps,is-typedarray,0,0,0,0
top1k-typed-nodeps,is-unicode-supported,1,1,1,1
top1k-typed-nodeps,is-windows,0,0,0,0
top1k-typed-nodeps,isarray,0,NA,0,0
top1k-typed-nodeps,isexe,0,NA,0,0
top1k-typed-nodeps,isobject,1,1,1,1
top1k-typed-nodeps,isstream,1,0,1,1
top1k-typed-nodeps,jest-pnp-resolver,0,0,0,0
top1k-typed-nodeps,jquery,NA,0,0,0
top1k-typed-nodeps,jsbn,NA,0,0,0
top1k-typed-nodeps,jsesc,0,0,0,0
top1k-typed-nodeps,json-buffer,1,0,1,1
top1k-typed-nodeps,json-parse-better-errors,0,0,1,0
top1k-typed-nodeps,json-schema,0,0,0,0
top1k-typed-nodeps,json-schema-traverse,0,0,0,0
top1k-typed-nodeps,json-stringify-safe,0,0,0,1
top1k-typed-nodeps,kind-of,0,0,0,0
top1k-typed-nodeps,kleur,0,0,0,0
top1k-typed-nodeps,klona,0,0,0,0
top1k-typed-nodeps,leven,0,0,0,0
top1k-typed-nodeps,load-json-file,0,0,0,0
top1k-typed-nodeps,loader-runner,0,0,0,0
top1k-typed-nodeps,lodash,NA,0,0,0
top1k-typed-nodeps,loglevel,0,0,0,0
top1k-typed-nodeps,lowercase-keys,1,1,1,1
top1k-typed-nodeps,make-error,0,0,0,0
top1k-typed-nodeps,map-obj,0,0,0,1
top1k-typed-nodeps,media-typer,0,0,0,1
top1k-typed-nodeps,merge-descriptors,1,0,1,1
top1k-typed-nodeps,merge-stream,1,0,0,0
top1k-typed-nodeps,merge2,0,0,0,0
top1k-typed-nodeps,methods,0,0,0,1
top1k-typed-nodeps,mime,0,0,0,0
top1k-typed-nodeps,mime-db,0,0,0,0
top1k-typed-nodeps,mimic-fn,0,0,0,0
top1k-typed-nodeps,mimic-response,0,0,0,0
top1k-typed-nodeps,min-indent,0,1,1,1
top1k-typed-nodeps,minimalistic-assert,1,0,0,1
top1k-typed-nodeps,mkdirp,0,0,0,0
top1k-typed-nodeps,mute-stream,0,0,0,0
top1k-typed-nodeps,nanocolors,0,0,0,0
top1k-typed-nodeps,nanoid,0,0,0,0
top1k-typed-nodeps,natural-compare,0,0,0,0
