"Dataset","Package","DeepTyper type checks","LambdaNet type checks","InCoder type checks","SantaCoder type checks"
top1k-typed-nodeps-es6,postcss-value-parser,0,0,0,0
top1k-typed-nodeps-es6,prelude-ls,NA,0,0,0
top1k-typed-nodeps-es6,prepend-http,1,0,0,0
top1k-typed-nodeps-es6,progress,0,0,0,0
top1k-typed-nodeps-es6,promise-inflight,1,NA,0,0
top1k-typed-nodeps-es6,punycode,0,0,0,0
top1k-typed-nodeps-es6,querystring,0,NA,0,0
top1k-typed-nodeps-es6,querystringify,0,NA,0,1
top1k-typed-nodeps-es6,queue-microtask,1,0,1,1
top1k-typed-nodeps-es6,quick-lru,0,NA,0,0
top1k-typed-nodeps-es6,range-parser,0,0,0,0
top1k-typed-nodeps-es6,regenerate,NA,0,0,0
top1k-typed-nodeps-es6,regexp-tree,NA,0,0,0
top1k-typed-nodeps-es6,repeat-element,0,0,0,0
top1k-typed-nodeps-es6,repeat-string,0,0,0,0
top1k-typed-nodeps-es6,require-directory,0,0,0,0
top1k-typed-nodeps-es6,require-from-string,0,NA,0,0
top1k-typed-nodeps-es6,requires-port,1,1,1,1
top1k-typed-nodeps-es6,resolve-from,NA,0,0,0
top1k-typed-nodeps-es6,retry,0,0,0,0
top1k-typed-nodeps-es6,rsvp,0,0,0,0
top1k-typed-nodeps-es6,safe-buffer,0,0,0,0
top1k-typed-nodeps-es6,safer-buffer,0,0,0,0
top1k-typed-nodeps-es6,sax,NA,0,0,0
top1k-typed-nodeps-es6,setimmediate,0,0,0,0
top1k-typed-nodeps-es6,setprototypeof,1,0,0,1
top1k-typed-nodeps-es6,shebang-regex,1,1,1,1
top1k-typed-nodeps-es6,signal-exit,0,NA,0,0
top1k-typed-nodeps-es6,sisteransi,0,0,0,0
top1k-typed-nodeps-es6,slash,1,0,0,1
top1k-typed-nodeps-es6,source-list-map,0,0,0,0
top1k-typed-nodeps-es6,split-on-first,1,0,1,1
top1k-typed-nodeps-es6,split-string,0,0,0,0
top1k-typed-nodeps-es6,sprintf-js,0,0,0,0
top1k-typed-nodeps-es6,stable,NA,0,0,0
top1k-typed-nodeps-es6,statuses,0,0,0,0
top1k-typed-nodeps-es6,stream-shift,1,0,0,0
top1k-typed-nodeps-es6,strict-uri-encode,1,1,1,1
top1k-typed-nodeps-es6,strip-bom,1,0,0,1
top1k-typed-nodeps-es6,strip-final-newline,0,0,0,0
top1k-typed-nodeps-es6,strip-json-comments,0,0,0,0
top1k-typed-nodeps-es6,symbol-observable,0,0,1,0
top1k-typed-nodeps-es6,symbol-tree,0,0,0,0
top1k-typed-nodeps-es6,tapable,0,0,0,0
top1k-typed-nodeps-es6,throat,0,0,0,0
top1k-typed-nodeps-es6,through,1,0,0,0
top1k-typed-nodeps-es6,tmpl,1,0,0,0
top1k-typed-nodeps-es6,to-fast-properties,0,0,0,0
top1k-typed-nodeps-es6,trim-newlines,1,0,1,1
top1k-typed-nodeps-es6,tslib,0,0,0,0
top1k-typed-nodeps-es6,tweetnacl,NA,0,0,0
top1k-typed-nodeps-es6,type,0,0,0,0
top1k-typed-nodeps-es6,typedarray-to-buffer,1,0,1,0
top1k-typed-nodeps-es6,universalify,0,0,1,1
top1k-typed-nodeps-es6,urix,1,1,0,1
top1k-typed-nodeps-es6,util-deprecate,1,0,0,1
top1k-typed-nodeps-es6,utils-merge,1,1,1,1
top1k-typed-nodeps-es6,uuid,0,0,0,0
top1k-typed-nodeps-es6,vary,0,0,0,0
top1k-typed-nodeps-es6,webidl-conversions,0,0,0,0
top1k-typed-nodeps-es6,webpack-sources,0,0,0,0
top1k-typed-nodeps-es6,whatwg-mimetype,NA,0,0,0
top1k-typed-nodeps-es6,word-wrap,0,NA,0,0
top1k-typed-nodeps-es6,ws,NA,NA,0,0
top1k-typed-nodeps-es6,xml-name-validator,0,NA,0,0
top1k-typed-nodeps-es6,xtend,1,NA,1,1
top1k-typed-nodeps-es6,yallist,0,0,0,0
top1k-typed-nodeps-es6,yn,0,0,0,0
top1k-typed-nodeps-es6,yocto-queue,1,NA,1,1
top1k-typed-with-typed-deps,@sinonjs_commons,0,0,0,0
top1k-typed-with-typed-deps,accepts,0,0,0,0
top1k-typed-with-typed-deps,anymatch,0,0,0,1
top1k-typed-with-typed-deps,are-we-there-yet,0,NA,0,0
top1k-typed-with-typed-deps,asn1,0,0,0,0
top1k-typed-with-typed-deps,axios,NA,NA,0,0
top1k-typed-with-typed-deps,brace-expansion,0,0,0,0
top1k-typed-with-typed-deps,braces,0,0,0,0
top1k-typed-with-typed-deps,call-bind,1,0,1,1
top1k-typed-with-typed-deps,color,0,0,0,0
top1k-typed-with-typed-deps,color-convert,NA,0,0,0
top1k-typed-with-typed-deps,color-string,0,0,0,0
top1k-typed-with-typed-deps,compressible,0,0,1,1
top1k-typed-with-typed-deps,csso,NA,0,0,0
top1k-typed-with-typed-deps,cssstyle,0,0,0,0
top1k-typed-with-typed-deps,dashdash,0,0,0,0
top1k-typed-with-typed-deps,debug,0,0,0,0
top1k-typed-with-typed-deps,defaults,1,NA,1,0
top1k-typed-with-typed-deps,doctrine,NA,0,0,0
top1k-typed-with-typed-deps,domexception,NA,0,0,0
top1k-typed-with-typed-deps,duplexify,0,0,0,0
top1k-typed-with-typed-deps,end-of-stream,0,NA,0,0
top1k-typed-with-typed-deps,enhanced-resolve,NA,0,0,0
top1k-typed-with-typed-deps,eslint-utils,0,0,0,0
top1k-typed-with-typed-deps,esquery,NA,0,0,0
top1k-typed-with-typed-deps,fb-watchman,0,0,0,0
top1k-typed-with-typed-deps,file-entry-cache,0,0,0,0
top1k-typed-with-typed-deps,fill-range,0,0,0,0
top1k-typed-with-typed-deps,flush-write-stream,0,NA,0,0
top1k-typed-with-typed-deps,from2,0,NA,0,0
top1k-typed-with-typed-deps,fs-extra,0,NA,0,0
top1k-typed-with-typed-deps,get-intrinsic,0,0,0,0
top1k-typed-with-typed-deps,getpass,0,0,0,0
top1k-typed-with-typed-deps,glob-parent,0,0,0,0
top1k-typed-with-typed-deps,global-dirs,0,NA,1,1
top1k-typed-with-typed-deps,global-modules,1,NA,1,1
top1k-typed-with-typed-deps,global-prefix,1,NA,1,1
top1k-typed-with-typed-deps,has,1,1,1,1
top1k-typed-with-typed-deps,hash.js,0,0,0,0
top1k-typed-with-typed-deps,hoist-non-react-statics,0,0,0,0
top1k-typed-with-typed-deps,html-encoding-sniffer,0,0,0,0
top1k-typed-with-typed-deps,iconv-lite,0,0,0,0
top1k-typed-with-typed-deps,is-core-module,0,0,0,0
top1k-typed-with-typed-deps,is-data-descriptor,0,1,1,1
top1k-typed-with-typed-deps,js-yaml,NA,NA,0,0
top1k-typed-with-typed-deps,json5,0,0,0,0
top1k-typed-with-typed-deps,jsonfile,0,0,0,0
top1k-typed-with-typed-deps,lru-cache,NA,0,0,0
top1k-typed-with-typed-deps,make-dir,0,0,0,0
top1k-typed-with-typed-deps,micromatch,0,0,0,0
top1k-typed-with-typed-deps,mime-types,0,0,0,0
top1k-typed-with-typed-deps,minimatch,0,0,0,0
top1k-typed-with-typed-deps,minipass,0,0,0,0
top1k-typed-with-typed-deps,nopt,0,NA,0,0
top1k-typed-with-typed-deps,normalize-package-data,0,NA,0,0
top1k-typed-with-typed-deps,on-finished,1,0,0,0
top1k-typed-with-typed-deps,portfinder,0,0,0,0
top1k-typed-with-typed-deps,postcss-modules-values,0,0,1,1
top1k-typed-with-typed-deps,postcss-selector-parser,NA,NA,0,0
top1k-typed-with-typed-deps,promise,0,0,0,0
top1k-typed-with-typed-deps,pump,0,0,0,0
top1k-typed-with-typed-deps,pumpify,0,0,0,0
top1k-typed-with-typed-deps,readdirp,0,0,0,0
top1k-typed-with-typed-deps,regjsparser,NA,0,0,0
top1k-typed-with-typed-deps,rimraf,0,0,0,0
top1k-typed-with-typed-deps,send,0,0,0,0
top1k-typed-with-typed-deps,serialize-javascript,0,0,0,0
top1k-typed-with-typed-deps,serve-static,0,0,0,0
top1k-typed-with-typed-deps,stream-each,1,0,0,0
top1k-typed-with-typed-deps,strip-indent,0,0,1,1
top1k-typed-with-typed-deps,through2,0,0,0,0
top1k-typed-with-typed-deps,tmp,0,0,0,0
top1k-typed-with-typed-deps,to-regex-range,NA,0,0,0
top1k-typed-with-typed-deps,tough-cookie,NA,0,0,0
top1k-typed-with-typed-deps,tr46,NA,0,0,0
top1k-typed-with-typed-deps,type-check,NA,0,0,0
top1k-typed-with-typed-deps,type-is,1,0,0,0
top1k-typed-with-typed-deps,url-parse,0,0,0,0
top1k-typed-with-typed-deps,validate-npm-package-license,0,0,0,0
top1k-typed-with-typed-deps,w3c-xmlserializer,0,0,0,0
top1k-typed-with-typed-deps,watchpack,0,0,0,0
top1k-typed-with-typed-deps,wcwidth,0,0,0,0
top1k-typed-with-typed-deps,whatwg-url,NA,0,0,0
top1k-typed-with-typed-deps,which,0,0,1,1
top1k-typed-with-typed-deps,write-file-atomic,0,NA,0,0
top1k-typed-with-typed-deps-es6,@sinonjs_commons,0,0,0,0
top1k-typed-with-typed-deps-es6,accepts,0,0,0,0
top1k-typed-with-typed-deps-es6,anymatch,0,0,0,0
top1k-typed-with-typed-deps-es6,are-we-there-yet,0,NA,0,0
top1k-typed-with-typed-deps-es6,asn1,0,0,0,0
top1k-typed-with-typed-deps-es6,axios,NA,NA,0,0
top1k-typed-with-typed-deps-es6,brace-expansion,0,0,0,0
top1k-typed-with-typed-deps-es6,braces,0,0,0,0
top1k-typed-with-typed-deps-es6,call-bind,0,0,0,0
top1k-typed-with-typed-deps-es6,color,0,0,0,0
top1k-typed-with-typed-deps-es6,color-convert,NA,0,0,0
top1k-typed-with-typed-deps-es6,color-string,0,0,0,0
top1k-typed-with-typed-deps-es6,compressible,0,0,1,1
top1k-typed-with-typed-deps-es6,csso,NA,0,0,0
top1k-typed-with-typed-deps-es6,cssstyle,0,0,0,0
top1k-typed-with-typed-deps-es6,dashdash,0,0,0,0
top1k-typed-with-typed-deps-es6,debug,0,0,0,0
top1k-typed-with-typed-deps-es6,defaults,1,NA,1,0
top1k-typed-with-typed-deps-es6,doctrine,NA,0,0,0
top1k-typed-with-typed-deps-es6,domexception,NA,0,0,0
top1k-typed-with-typed-deps-es6,duplexify,0,0,0,0
top1k-typed-with-typed-deps-es6,end-of-stream,0,NA,0,0
top1k-typed-with-typed-deps-es6,enhanced-resolve,NA,0,0,0
top1k-typed-with-typed-deps-es6,eslint-utils,0,0,0,0
top1k-typed-with-typed-deps-es6,esquery,NA,0,0,0
top1k-typed-with-typed-deps-es6,fb-watchman,0,0,0,0
top1k-typed-with-typed-deps-es6,file-entry-cache,0,0,0,0
top1k-typed-with-typed-deps-es6,fill-range,0,0,0,0
top1k-typed-with-typed-deps-es6,flush-write-stream,0,NA,0,0
top1k-typed-with-typed-deps-es6,from2,0,NA,0,0
top1k-typed-with-typed-deps-es6,fs-extra,0,0,0,0
top1k-typed-with-typed-deps-es6,get-intrinsic,0,0,0,0
top1k-typed-with-typed-deps-es6,getpass,0,0,0,0
top1k-typed-with-typed-deps-es6,glob-parent,0,0,0,0
top1k-typed-with-typed-deps-es6,global-dirs,0,NA,1,1
top1k-typed-with-typed-deps-es6,global-modules,1,NA,1,1
top1k-typed-with-typed-deps-es6,global-prefix,1,NA,1,1
top1k-typed-with-typed-deps-es6,has,1,NA,1,1
top1k-typed-with-typed-deps-es6,hash.js,0,0,0,0
top1k-typed-with-typed-deps-es6,hoist-non-react-statics,0,0,0,0
top1k-typed-with-typed-deps-es6,html-encoding-sniffer,0,0,0,0
top1k-typed-with-typed-deps-es6,iconv-lite,0,0,0,0
top1k-typed-with-typed-deps-es6,is-core-module,0,0,0,0
top1k-typed-with-typed-deps-es6,is-data-descriptor,0,1,1,1
top1k-typed-with-typed-deps-es6,js-yaml,NA,NA,0,0
top1k-typed-with-typed-deps-es6,json5,0,0,0,0
top1k-typed-with-typed-deps-es6,jsonfile,0,0,0,0
top1k-typed-with-typed-deps-es6,lru-cache,NA,0,0,0
top1k-typed-with-typed-deps-es6,make-dir,0,0,0,0
top1k-typed-with-typed-deps-es6,micromatch,0,0,0,0
top1k-typed-with-typed-deps-es6,mime-types,0,0,0,1
top1k-typed-with-typed-deps-es6,minimatch,0,0,0,0
top1k-typed-with-typed-deps-es6,minipass,0,0,0,0
top1k-typed-with-typed-deps-es6,nopt,0,NA,0,0
top1k-typed-with-typed-deps-es6,normalize-package-data,0,NA,0,0
top1k-typed-with-typed-deps-es6,on-finished,0,0,0,0
top1k-typed-with-typed-deps-es6,portfinder,0,0,0,0
top1k-typed-with-typed-deps-es6,postcss-modules-values,0,0,1,1
top1k-typed-with-typed-deps-es6,postcss-selector-parser,NA,NA,0,0
top1k-typed-with-typed-deps-es6,promise,0,0,0,0
top1k-typed-with-typed-deps-es6,pump,0,0,0,0
top1k-typed-with-typed-deps-es6,pumpify,0,0,0,0
top1k-typed-with-typed-deps-es6,readdirp,0,0,0,0
top1k-typed-with-typed-deps-es6,regjsparser,NA,0,0,0
top1k-typed-with-typed-deps-es6,rimraf,0,0,0,0
top1k-typed-with-typed-deps-es6,send,0,0,0,0
top1k-typed-with-typed-deps-es6,serialize-javascript,0,0,0,0
top1k-typed-with-typed-deps-es6,serve-static,0,0,0,0
top1k-typed-with-typed-deps-es6,stream-each,1,0,0,0
top1k-typed-with-typed-deps-es6,strip-indent,0,0,1,1
top1k-typed-with-typed-deps-es6,through2,0,0,0,0
top1k-typed-with-typed-deps-es6,tmp,0,0,0,0
top1k-typed-with-typed-deps-es6,to-regex-range,NA,0,0,0
top1k-typed-with-typed-deps-es6,tough-cookie,NA,0,0,0
top1k-typed-with-typed-deps-es6,tr46,NA,0,0,0
top1k-typed-with-typed-deps-es6,type-check,NA,0,0,0
top1k-typed-with-typed-deps-es6,type-is,0,0,0,0
top1k-typed-with-typed-deps-es6,url-parse,0,0,0,0
top1k-typed-with-typed-deps-es6,validate-npm-package-license,0,0,0,0
top1k-typed-with-typed-deps-es6,w3c-xmlserializer,0,0,0,0
top1k-typed-with-typed-deps-es6,watchpack,0,0,0,0
top1k-typed-with-typed-deps-es6,wcwidth,0,0,0,0
top1k-typed-with-typed-deps-es6,whatwg-url,NA,0,0,0
top1k-typed-with-typed-deps-es6,which,0,0,1,1
top1k-typed-with-typed-deps-es6,write-file-atomic,0,NA,0,0
top1k-untyped-nodeps,@gar_promisify,0,1,0,1
top1k-untyped-nodeps,@humanwhocodes_object-schema,0,0,0,0
top1k-untyped-nodeps,@istanbuljs_schema,NA,0,0,0
top1k-untyped-nodeps,@sellside_emitter,0,0,0,0
top1k-untyped-nodeps,@trysound_sax,NA,0,0,0
top1k-untyped-nodeps,acorn-import-assertions,0,0,0,0
top1k-untyped-nodeps,aproba,0,0,0,0
top1k-untyped-nodeps,arr-flatten,1,0,0,0
top1k-untyped-nodeps,assign-symbols,0,NA,0,0
top1k-untyped-nodeps,async-each,0,0,0,0
top1k-untyped-nodeps,async-limiter,0,0,0,0
top1k-untyped-nodeps,asynckit,0,0,0,0
top1k-untyped-nodeps,at-least-node,1,0,1,1
top1k-untyped-nodeps,available-typed-arrays,1,1,1,1
top1k-untyped-nodeps,aws-sign2,0,0,0,0
top1k-untyped-nodeps,buffer-equal-constant-time,0,0,0,0
top1k-untyped-nodeps,builtin-status-codes,1,0,1,1
top1k-untyped-nodeps,cli-width,1,0,0,0
top1k-untyped-nodeps,code-point-at,1,1,1,1
top1k-untyped-nodeps,console-browserify,0,NA,0,0
top1k-untyped-nodeps,console-control-strings,0,1,0,0
top1k-untyped-nodeps,copy-descriptor,0,0,0,1
top1k-untyped-nodeps,core-util-is,1,0,0,1
top1k-untyped-nodeps,cyclist,1,0,0,0
top1k-untyped-nodeps,deep-is,0,0,0,1
top1k-untyped-nodeps,delayed-stream,1,0,0,0
top1k-untyped-nodeps,domain-browser,0,NA,0,0
top1k-untyped-nodeps,duplexer,0,0,0,0
top1k-untyped-nodeps,electron-to-chromium,NA,0,0,0
top1k-untyped-nodeps,emojis-list,NA,0,0,0
top1k-untyped-nodeps,es-module-lexer,NA,0,0,0
top1k-untyped-nodeps,es6-object-assign,0,0,0,0
top1k-untyped-nodeps,figgy-pudding,0,0,0,0
top1k-untyped-nodeps,for-in,1,1,1,1
top1k-untyped-nodeps,fs-constants,1,NA,1,1
top1k-untyped-nodeps,fs-monkey,NA,0,0,0
top1k-untyped-nodeps,fs.realpath,0,NA,0,0
top1k-untyped-nodeps,growly,0,0,0,0
top1k-untyped-nodeps,har-schema,1,NA,1,1
top1k-untyped-nodeps,has-bigints,1,1,1,1
top1k-untyped-nodeps,has-unicode,0,0,1,1
top1k-untyped-nodeps,infer-owner,0,0,1,1
top1k-untyped-nodeps,is-accessor-descriptor,0,0,1,1
top1k-untyped-nodeps,is-arrayish,1,0,0,1
top1k-untyped-nodeps,is-descriptor,0,0,1,1
top1k-untyped-nodeps,is-extglob,1,0,1,1
top1k-untyped-nodeps,is-map,1,0,0,1
top1k-untyped-nodeps,is-negative-zero,0,1,1,1
top1k-untyped-nodeps,is-potential-custom-element-name,0,0,1,1
top1k-untyped-nodeps,is-primitive,0,0,0,0
top1k-untyped-nodeps,is-set,1,0,0,1
top1k-untyped-nodeps,is-weakmap,1,0,0,1
top1k-untyped-nodeps,json-parse-even-better-errors,0,0,0,0
top1k-untyped-nodeps,json-stable-stringify-without-jsonify,0,0,0,0
top1k-untyped-nodeps,map-cache,0,NA,0,1
top1k-untyped-nodeps,mdn-data,1,NA,1,1
top1k-untyped-nodeps,minimalistic-crypto-utils,0,0,0,0
top1k-untyped-nodeps,mixin-deep,0,1,0,1
top1k-untyped-nodeps,nan,0,0,0,0
top1k-untyped-nodeps,node-domexception,0,0,0,0
top1k-untyped-nodeps,node-modules-regexp,1,0,1,1
top1k-untyped-nodeps,normalize-range,0,0,0,0
top1k-untyped-nodeps,oauth-sign,0,0,0,0
top1k-untyped-nodeps,os-browserify,1,NA,1,1
top1k-untyped-nodeps,p-finally,1,0,1,1
top1k-untyped-nodeps,path-dirname,0,0,0,1
top1k-untyped-nodeps,pop-iterate,0,0,0,0
top1k-untyped-nodeps,posix-character-classes,1,NA,1,1
top1k-untyped-nodeps,process,0,NA,0,0
top1k-untyped-nodeps,process-nextick-args,1,0,1,1
top1k-untyped-nodeps,prr,1,0,0,0
top1k-untyped-nodeps,pseudomap,0,0,0,0
top1k-untyped-nodeps,querystring-es3,0,NA,0,0
top1k-untyped-nodeps,regjsgen,0,0,0,0
top1k-untyped-nodeps,remove-trailing-separator,1,0,1,1
top1k-untyped-nodeps,require-main-filename,0,0,0,0
top1k-untyped-nodeps,resolve-alpn,0,0,0,0
top1k-untyped-nodeps,resolve-url,0,NA,0,0
top1k-untyped-nodeps,reusify,0,0,0,0
top1k-untyped-nodeps,run-async,0,0,0,0
top1k-untyped-nodeps,set-blocking,1,0,0,0
top1k-untyped-nodeps,snapdragon-capture,1,0,0,0
top1k-untyped-nodeps,snapdragon-node,0,0,0,0
top1k-untyped-nodeps,source-map-url,0,NA,0,0
top1k-untyped-nodeps,stealthy-require,0,0,1,0
top1k-untyped-nodeps,strip-eof,0,0,0,0
top1k-untyped-nodeps,style-loader,NA,0,0,0
top1k-untyped-nodeps,to-arraybuffer,0,0,0,0
top1k-untyped-nodeps,toidentifier,0,0,0,1
top1k-untyped-nodeps,tty-browserify,1,1,1,1
top1k-untyped-nodeps,unicode-canonical-property-names-ecmascript,1,NA,1,1
top1k-untyped-nodeps,unicode-match-property-value-ecmascript,0,0,0,0
top1k-untyped-nodeps,unicode-property-aliases-ecmascript,1,0,1,1
top1k-untyped-nodeps,unpipe,1,0,0,0
top1k-untyped-nodeps,use,0,0,0,0
top1k-untyped-nodeps,v8-compile-cache,0,0,0,0
top1k-untyped-nodeps,vm-browserify,0,0,0,0
top1k-untyped-nodeps,weak-map,0,0,0,0
top1k-untyped-nodeps,websocket-extensions,0,0,0,0
top1k-untyped-nodeps,whatwg-fetch,0,0,0,0
top1k-untyped-nodeps,which-module,1,1,1,1
top1k-untyped-nodeps,wrappy,0,0,0,0
top1k-untyped-nodeps-es6,@gar_promisify,0,1,0,1
top1k-untyped-nodeps-es6,@humanwhocodes_object-schema,0,0,0,0
top1k-untyped-nodeps-es6,@istanbuljs_schema,NA,0,0,0
top1k-untyped-nodeps-es6,@sellside_emitter,0,0,0,0
top1k-untyped-nodeps-es6,@trysound_sax,NA,0,0,0
top1k-untyped-nodeps-es6,acorn-import-assertions,0,0,0,0
top1k-untyped-nodeps-es6,aproba,0,0,0,0
top1k-untyped-nodeps-es6,arr-flatten,0,0,0,0
top1k-untyped-nodeps-es6,assign-symbols,0,NA,1,1
top1k-untyped-nodeps-es6,async-each,0,0,0,0
top1k-untyped-nodeps-es6,async-limiter,0,0,0,0
top1k-untyped-nodeps-es6,asynckit,0,0,0,0
top1k-untyped-nodeps-es6,at-least-node,1,0,1,1
top1k-untyped-nodeps-es6,available-typed-arrays,1,1,1,1
top1k-untyped-nodeps-es6,aws-sign2,0,0,0,0
top1k-untyped-nodeps-es6,buffer-equal-constant-time,0,0,0,0
top1k-untyped-nodeps-es6,builtin-status-codes,1,1,1,1
top1k-untyped-nodeps-es6,cli-width,1,0,0,0
top1k-untyped-nodeps-es6,code-point-at,1,1,1,1
top1k-untyped-nodeps-es6,console-browserify,0,NA,0,0
top1k-untyped-nodeps-es6,console-control-strings,0,0,0,0
top1k-untyped-nodeps-es6,copy-descriptor,0,0,0,0
top1k-untyped-nodeps-es6,core-util-is,1,0,0,1
top1k-untyped-nodeps-es6,cyclist,1,0,0,0
top1k-untyped-nodeps-es6,deep-is,0,0,0,1
top1k-untyped-nodeps-es6,delayed-stream,1,0,0,0
top1k-untyped-nodeps-es6,domain-browser,0,NA,0,0
top1k-untyped-nodeps-es6,duplexer,0,0,0,0
top1k-untyped-nodeps-es6,electron-to-chromium,NA,0,0,0
top1k-untyped-nodeps-es6,emojis-list,NA,0,0,0
top1k-untyped-nodeps-es6,es-module-lexer,NA,0,0,0
top1k-untyped-nodeps-es6,es6-object-assign,0,0,0,0
top1k-untyped-nodeps-es6,figgy-pudding,0,0,0,0
top1k-untyped-nodeps-es6,for-in,1,1,1,1
top1k-untyped-nodeps-es6,fs-constants,1,NA,1,1
top1k-untyped-nodeps-es6,fs-monkey,NA,0,0,0
top1k-untyped-nodeps-es6,fs.realpath,0,NA,0,0
top1k-untyped-nodeps-es6,growly,0,0,0,0
top1k-untyped-nodeps-es6,har-schema,1,NA,1,1
top1k-untyped-nodeps-es6,has-bigints,1,1,1,1
top1k-untyped-nodeps-es6,has-unicode,0,0,1,1
top1k-untyped-nodeps-es6,infer-owner,0,0,1,1
top1k-untyped-nodeps-es6,is-accessor-descriptor,0,0,1,1
top1k-untyped-nodeps-es6,is-arrayish,1,0,0,1
top1k-untyped-nodeps-es6,is-descriptor,0,0,1,1
top1k-untyped-nodeps-es6,is-extglob,1,0,1,1
top1k-untyped-nodeps-es6,is-map,1,0,0,1
top1k-untyped-nodeps-es6,is-negative-zero,0,1,1,1
top1k-untyped-nodeps-es6,is-potential-custom-element-name,0,0,1,1
top1k-untyped-nodeps-es6,is-primitive,0,0,0,0
top1k-untyped-nodeps-es6,is-set,1,0,0,1
top1k-untyped-nodeps-es6,is-weakmap,1,0,0,1
top1k-untyped-nodeps-es6,json-parse-even-better-errors,0,0,0,0
top1k-untyped-nodeps-es6,json-stable-stringify-without-jsonify,0,0,0,0
top1k-untyped-nodeps-es6,map-cache,0,NA,0,1
top1k-untyped-nodeps-es6,mdn-data,1,NA,1,1
top1k-untyped-nodeps-es6,minimalistic-crypto-utils,0,0,0,0
top1k-untyped-nodeps-es6,mixin-deep,0,1,0,1
top1k-untyped-nodeps-es6,nan,0,0,0,0
top1k-untyped-nodeps-es6,node-domexception,0,0,0,0
top1k-untyped-nodeps-es6,node-modules-regexp,1,1,1,1
top1k-untyped-nodeps-es6,normalize-range,0,0,0,0
top1k-untyped-nodeps-es6,oauth-sign,0,0,0,0
top1k-untyped-nodeps-es6,os-browserify,0,NA,1,1
top1k-untyped-nodeps-es6,p-finally,1,0,1,1
top1k-untyped-nodeps-es6,path-dirname,0,0,0,1
top1k-untyped-nodeps-es6,pop-iterate,0,0,0,0
top1k-untyped-nodeps-es6,posix-character-classes,1,NA,1,1
top1k-untyped-nodeps-es6,process,1,NA,0,0
top1k-untyped-nodeps-es6,process-nextick-args,0,0,0,0
top1k-untyped-nodeps-es6,prr,1,0,0,0
top1k-untyped-nodeps-es6,pseudomap,0,0,0,0
top1k-untyped-nodeps-es6,querystring-es3,0,NA,0,0
top1k-untyped-nodeps-es6,regjsgen,0,0,0,0
top1k-untyped-nodeps-es6,remove-trailing-separator,1,0,1,1
top1k-untyped-nodeps-es6,require-main-filename,0,0,0,0
top1k-untyped-nodeps-es6,resolve-alpn,0,0,0,0
top1k-untyped-nodeps-es6,resolve-url,0,NA,0,0
top1k-untyped-nodeps-es6,reusify,0,0,0,0
top1k-untyped-nodeps-es6,run-async,0,0,0,0
top1k-untyped-nodeps-es6,set-blocking,1,0,0,0
top1k-untyped-nodeps-es6,snapdragon-capture,1,0,0,0
top1k-untyped-nodeps-es6,snapdragon-node,0,0,0,0
top1k-untyped-nodeps-es6,source-map-url,0,NA,0,0
top1k-untyped-nodeps-es6,stealthy-require,0,0,0,0
top1k-untyped-nodeps-es6,strip-eof,0,0,0,0
top1k-untyped-nodeps-es6,style-loader,NA,0,0,0
top1k-untyped-nodeps-es6,to-arraybuffer,1,0,1,1
top1k-untyped-nodeps-es6,toidentifier,0,0,0,1
top1k-untyped-nodeps-es6,tty-browserify,1,1,1,1
top1k-untyped-nodeps-es6,unicode-canonical-property-names-ecmascript,1,NA,1,1
top1k-untyped-nodeps-es6,unicode-match-property-value-ecmascript,0,0,0,0
top1k-untyped-nodeps-es6,unicode-property-aliases-ecmascript,0,0,0,0
top1k-untyped-nodeps-es6,unpipe,1,0,0,0
top1k-untyped-nodeps-es6,use,0,0,0,0
top1k-untyped-nodeps-es6,v8-compile-cache,0,0,0,0
top1k-untyped-nodeps-es6,vm-browserify,0,0,0,0
top1k-untyped-nodeps-es6,weak-map,0,0,0,0
top1k-untyped-nodeps-es6,websocket-extensions,0,0,0,0
top1k-untyped-nodeps-es6,whatwg-fetch,0,0,0,0
top1k-untyped-nodeps-es6,which-module,1,1,1,1
top1k-untyped-nodeps-es6,wrappy,0,0,0,0
top1k-untyped-with-typed-deps,@npmcli_move-file,0,NA,0,0
top1k-untyped-with-typed-deps,array-includes,1,0,0,1
top1k-untyped-with-typed-deps,asn1.js,0,0,0,0
top1k-untyped-with-typed-deps,browserify-rsa,1,0,0,0
top1k-untyped-with-typed-deps,browserify-zlib,0,0,0,0
top1k-untyped-with-typed-deps,capture-exit,0,0,0,0
top1k-untyped-with-typed-deps,create-ecdh,0,0,0,0
top1k-untyped-with-typed-deps,des.js,0,0,0,0
top1k-untyped-with-typed-deps,ecc-jsbn,0,0,0,0
top1k-untyped-with-typed-deps,esrecurse,0,0,0,0
top1k-untyped-with-typed-deps,for-each,0,0,0,0
top1k-untyped-with-typed-deps,fs-write-stream-atomic,0,0,0,0
top1k-untyped-with-typed-deps,get-symbol-description,0,0,1,1
top1k-untyped-with-typed-deps,has-tostringtag,1,1,1,1
top1k-untyped-with-typed-deps,has-values,1,0,1,1
top1k-untyped-with-typed-deps,is-nan,1,0,0,1
top1k-untyped-with-typed-deps,is-symbol,0,1,0,1
top1k-untyped-with-typed-deps,is-weakset,1,0,0,1
top1k-untyped-with-typed-deps,jsprim,0,0,0,0
top1k-untyped-with-typed-deps,levn,0,0,0,0
top1k-untyped-with-typed-deps,makeerror,0,NA,0,0
top1k-untyped-with-typed-deps,miller-rabin,0,0,0,0
