"System","Dataset","Package","File","Number of anys","Number of any[]","Number of Function","Total annotations"
SantaCoder,top1k-typed-nodeps,arr-diff,benchmark/fixtures/long.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,arr-diff,benchmark/fixtures/med-short.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,arr-diff,benchmark/fixtures/med.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,arr-diff,benchmark/fixtures/short.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,arr-diff,benchmark/index.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,arr-diff,index.ts,0,3,0,3
SantaCoder,top1k-typed-nodeps,arr-union,benchmark/check.ts,0,0,0,2
SantaCoder,top1k-typed-nodeps,arr-union,benchmark/code/2-1-0.ts,1,1,0,2
SantaCoder,top1k-typed-nodeps,arr-union,benchmark/code/array-union.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,arr-union,benchmark/code/concat-apply.ts,0,1,0,1
SantaCoder,top1k-typed-nodeps,arr-union,benchmark/code/current.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,arr-union,benchmark/code/for-concat.ts,0,1,0,1
SantaCoder,top1k-typed-nodeps,arr-union,benchmark/code/for-each.ts,0,2,0,3
SantaCoder,top1k-typed-nodeps,arr-union,benchmark/code/for-in.ts,0,1,0,1
SantaCoder,top1k-typed-nodeps,arr-union,benchmark/code/for.ts,0,1,0,1
SantaCoder,top1k-typed-nodeps,arr-union,benchmark/code/reduce.ts,0,2,0,3
SantaCoder,top1k-typed-nodeps,arr-union,benchmark/code/while-concat-push.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,arr-union,benchmark/code/while-concat.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,arr-union,benchmark/code/while-continue-for.ts,0,1,0,1
SantaCoder,top1k-typed-nodeps,arr-union,benchmark/code/while-for-unique.ts,0,1,0,1
SantaCoder,top1k-typed-nodeps,arr-union,benchmark/code/while-for.ts,0,1,0,1
SantaCoder,top1k-typed-nodeps,arr-union,benchmark/code/while-push-apply.ts,0,1,0,1
SantaCoder,top1k-typed-nodeps,arr-union,benchmark/code/while-seen.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,arr-union,benchmark/code/while-while-unique.ts,0,1,0,1
SantaCoder,top1k-typed-nodeps,arr-union,benchmark/code/while-while.ts,1,1,0,2
SantaCoder,top1k-typed-nodeps,arr-union,benchmark/fixtures/five-arrays.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,arr-union,benchmark/fixtures/ten-arrays.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,arr-union,benchmark/fixtures/two-arrays.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,arr-union,benchmark/index.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,arr-union,index.ts,0,1,0,1
SantaCoder,top1k-typed-nodeps,array-union,index.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,array-uniq,index.ts,0,1,0,1
SantaCoder,top1k-typed-nodeps,array-unique,benchmark/code/filter.ts,0,1,0,2
SantaCoder,top1k-typed-nodeps,array-unique,benchmark/code/for-in.ts,0,1,0,1
SantaCoder,top1k-typed-nodeps,array-unique,benchmark/code/linear-search-01.ts,0,1,0,1
SantaCoder,top1k-typed-nodeps,array-unique,benchmark/code/set-immutable.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,array-unique,benchmark/code/set.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,array-unique,benchmark/code/while-hash.ts,0,1,0,1
SantaCoder,top1k-typed-nodeps,array-unique,benchmark/code/while.ts,0,1,0,1
SantaCoder,top1k-typed-nodeps,array-unique,benchmark/fixtures/long.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,array-unique,benchmark/fixtures/med.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,array-unique,benchmark/fixtures/short.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,array-unique,benchmark/index.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,array-unique,benchmark/randomize.ts,0,0,0,1
SantaCoder,top1k-typed-nodeps,array-unique,index.ts,0,2,0,2
SantaCoder,top1k-typed-nodeps,arrify,index.ts,1,0,0,1
SantaCoder,top1k-typed-nodeps,assert-plus,assert.ts,18,0,2,35
SantaCoder,top1k-typed-nodeps,astral-regex,index.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,async,dist/async.min.ts,1,1,0,2
SantaCoder,top1k-typed-nodeps,async,dist/async.ts,89,47,122,346
SantaCoder,top1k-typed-nodeps,async,docs/v2/scripts/async.ts,143,53,125,448
SantaCoder,top1k-typed-nodeps,async,docs/v2/scripts/jsdoc-custom.ts,6,0,0,7
SantaCoder,top1k-typed-nodeps,async,docs/v2/scripts/linenumber.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,async,docs/v2/scripts/prettify/lang-css.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,async,docs/v2/scripts/prettify/prettify.ts,4,0,0,12
SantaCoder,top1k-typed-nodeps,async,docs/v3/scripts/async.ts,83,45,113,346
SantaCoder,top1k-typed-nodeps,async,docs/v3/scripts/jsdoc-custom.ts,0,0,0,1
SantaCoder,top1k-typed-nodeps,async,docs/v3/scripts/linenumber.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,async,docs/v3/scripts/prettify/lang-css.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,async,docs/v3/scripts/prettify/prettify.ts,3,0,0,12
SantaCoder,top1k-typed-nodeps,async,index.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,async,karma.conf.ts,1,0,0,1
SantaCoder,top1k-typed-nodeps,async,lib/apply.ts,0,1,1,2
SantaCoder,top1k-typed-nodeps,async,lib/applyEach.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,async,lib/applyEachSeries.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,async,lib/asyncify.ts,4,1,2,9
SantaCoder,top1k-typed-nodeps,async,lib/auto.ts,2,0,1,11
SantaCoder,top1k-typed-nodeps,async,lib/autoInject.ts,4,0,1,6
SantaCoder,top1k-typed-nodeps,async,lib/cargo.ts,1,0,0,2
SantaCoder,top1k-typed-nodeps,async,lib/cargoQueue.ts,0,0,1,3
SantaCoder,top1k-typed-nodeps,async,lib/compose.ts,0,0,0,1
SantaCoder,top1k-typed-nodeps,async,lib/concat.ts,2,1,0,3
SantaCoder,top1k-typed-nodeps,async,lib/concatLimit.ts,0,1,0,4
SantaCoder,top1k-typed-nodeps,async,lib/concatSeries.ts,2,1,0,3
