"System","Dataset","Package","Type checks"
tsc,top1k-typed-nodeps,is-typedarray,1
tsc,top1k-typed-nodeps,is-unicode-supported,1
tsc,top1k-typed-nodeps,is-windows,0
tsc,top1k-typed-nodeps,isarray,1
tsc,top1k-typed-nodeps,isexe,1
tsc,top1k-typed-nodeps,isobject,1
tsc,top1k-typed-nodeps,isstream,1
tsc,top1k-typed-nodeps,jest-pnp-resolver,0
tsc,top1k-typed-nodeps,jsbn,0
tsc,top1k-typed-nodeps,jsesc,0
tsc,top1k-typed-nodeps,json-buffer,1
tsc,top1k-typed-nodeps,json-parse-better-errors,1
tsc,top1k-typed-nodeps,json-schema-traverse,1
tsc,top1k-typed-nodeps,json-schema,0
tsc,top1k-typed-nodeps,json-stringify-safe,1
tsc,top1k-typed-nodeps,kind-of,0
tsc,top1k-typed-nodeps,kleur,0
tsc,top1k-typed-nodeps,klona,0
tsc,top1k-typed-nodeps,leven,0
tsc,top1k-typed-nodeps,load-json-file,0
tsc,top1k-typed-nodeps,loader-runner,0
tsc,top1k-typed-nodeps,lodash,0
tsc,top1k-typed-nodeps,lowercase-keys,1
tsc,top1k-typed-nodeps,make-error,1
tsc,top1k-typed-nodeps,map-obj,1
tsc,top1k-typed-nodeps,media-typer,1
tsc,top1k-typed-nodeps,merge-descriptors,1
tsc,top1k-typed-nodeps,merge-stream,0
tsc,top1k-typed-nodeps,merge2,0
tsc,top1k-typed-nodeps,methods,1
tsc,top1k-typed-nodeps,mime-db,0
tsc,top1k-typed-nodeps,mime,0
tsc,top1k-typed-nodeps,mimic-fn,1
tsc,top1k-typed-nodeps,mimic-response,0
tsc,top1k-typed-nodeps,min-indent,1
tsc,top1k-typed-nodeps,minimalistic-assert,1
tsc,top1k-typed-nodeps,mkdirp,0
tsc,top1k-typed-nodeps,mute-stream,0
tsc,top1k-typed-nodeps,nanocolors,1
tsc,top1k-typed-nodeps,nanoid,0
tsc,top1k-typed-nodeps,natural-compare,0
tsc,top1k-typed-nodeps,negotiator,0
tsc,top1k-typed-nodeps,next-tick,0
tsc,top1k-typed-nodeps,nice-try,0
tsc,top1k-typed-nodeps,normalize-path,0
tsc,top1k-typed-nodeps,normalize-url,1
tsc,top1k-typed-nodeps,number-is-nan,1
tsc,top1k-typed-nodeps,nwsapi,0
tsc,top1k-typed-nodeps,object-assign,0
tsc,top1k-typed-nodeps,object-inspect,0
tsc,top1k-typed-nodeps,object-keys,1
tsc,top1k-typed-nodeps,on-headers,0
tsc,top1k-typed-nodeps,os-homedir,1
tsc,top1k-typed-nodeps,os-tmpdir,1
tsc,top1k-typed-nodeps,p-cancelable,0
tsc,top1k-typed-nodeps,p-each-series,1
tsc,top1k-typed-nodeps,p-timeout,0
tsc,top1k-typed-nodeps,p-try,1
tsc,top1k-typed-nodeps,parseurl,0
tsc,top1k-typed-nodeps,pascalcase,1
tsc,top1k-typed-nodeps,path-browserify,1
tsc,top1k-typed-nodeps,path-exists,1
tsc,top1k-typed-nodeps,path-is-absolute,1
tsc,top1k-typed-nodeps,path-is-inside,1
tsc,top1k-typed-nodeps,path-key,1
tsc,top1k-typed-nodeps,path-parse,0
tsc,top1k-typed-nodeps,path-type,1
tsc,top1k-typed-nodeps,picomatch,0
tsc,top1k-typed-nodeps,pify,1
tsc,top1k-typed-nodeps,postcss-modules-extract-imports,0
tsc,top1k-typed-nodeps,postcss-value-parser,0
tsc,top1k-typed-nodeps,prelude-ls,0
tsc,top1k-typed-nodeps,prepend-http,1
tsc,top1k-typed-nodeps,progress,0
tsc,top1k-typed-nodeps,promise-inflight,0
tsc,top1k-typed-nodeps,punycode,0
tsc,top1k-typed-nodeps,querystring,1
tsc,top1k-typed-nodeps,querystringify,1
tsc,top1k-typed-nodeps,queue-microtask,1
tsc,top1k-typed-nodeps,quick-lru,0
tsc,top1k-typed-nodeps,range-parser,0
tsc,top1k-typed-nodeps,regenerate,0
tsc,top1k-typed-nodeps,regexp-tree,0
tsc,top1k-typed-nodeps,repeat-element,0
tsc,top1k-typed-nodeps,repeat-string,0
tsc,top1k-typed-nodeps,require-directory,1
tsc,top1k-typed-nodeps,require-from-string,0
tsc,top1k-typed-nodeps,requires-port,1
tsc,top1k-typed-nodeps,resolve-from,0
tsc,top1k-typed-nodeps,retry,1
tsc,top1k-typed-nodeps,rsvp,0
tsc,top1k-typed-nodeps,safer-buffer,0
tsc,top1k-typed-nodeps,sax,0
tsc,top1k-typed-nodeps,setimmediate,0
tsc,top1k-typed-nodeps,setprototypeof,1
tsc,top1k-typed-nodeps,shebang-regex,1
tsc,top1k-typed-nodeps,signal-exit,0
tsc,top1k-typed-nodeps,sisteransi,1
tsc,top1k-typed-nodeps,slash,1
tsc,top1k-typed-nodeps,source-list-map,1
tsc,top1k-typed-nodeps,split-on-first,1
tsc,top1k-typed-nodeps,split-string,0
tsc,top1k-typed-nodeps,sprintf-js,0
tsc,top1k-typed-nodeps,stable,0
tsc,top1k-typed-nodeps,statuses,0
tsc,top1k-typed-nodeps,stream-shift,1
tsc,top1k-typed-nodeps,strict-uri-encode,1
tsc,top1k-typed-nodeps,strip-bom,1
tsc,top1k-typed-nodeps,strip-final-newline,0
tsc,top1k-typed-nodeps,strip-json-comments,0
tsc,top1k-typed-nodeps,symbol-observable,0
tsc,top1k-typed-nodeps,symbol-tree,1
tsc,top1k-typed-nodeps,throat,0
tsc,top1k-typed-nodeps,through,0
tsc,top1k-typed-nodeps,tmpl,1
tsc,top1k-typed-nodeps,to-fast-properties,0
tsc,top1k-typed-nodeps,trim-newlines,1
tsc,top1k-typed-nodeps,tslib,0
tsc,top1k-typed-nodeps,tweetnacl,0
tsc,top1k-typed-nodeps,type,0
tsc,top1k-typed-nodeps,typedarray-to-buffer,1
tsc,top1k-typed-nodeps,universalify,1
tsc,top1k-typed-nodeps,urix,1
tsc,top1k-typed-nodeps,util-deprecate,1
tsc,top1k-typed-nodeps,utils-merge,1
tsc,top1k-typed-nodeps,uuid,0
tsc,top1k-typed-nodeps,vary,0
tsc,top1k-typed-nodeps,webidl-conversions,1
tsc,top1k-typed-nodeps,webpack-sources,0
tsc,top1k-typed-nodeps,whatwg-mimetype,0
tsc,top1k-typed-nodeps,word-wrap,1
tsc,top1k-typed-nodeps,ws,0
tsc,top1k-typed-nodeps,xml-name-validator,0
tsc,top1k-typed-nodeps,xtend,1
tsc,top1k-typed-nodeps,yallist,0
tsc,top1k-typed-nodeps,yn,0
tsc,top1k-typed-nodeps,yocto-queue,1
tsc,top1k-typed-nodeps-es6,@xtuc_long,0
tsc,top1k-typed-nodeps-es6,abab,0
tsc,top1k-typed-nodeps-es6,abbrev,0
tsc,top1k-typed-nodeps-es6,acorn-jsx,0
tsc,top1k-typed-nodeps-es6,ansi-colors,0
tsc,top1k-typed-nodeps-es6,ansi-regex,0
tsc,top1k-typed-nodeps-es6,ansi-styles,0
tsc,top1k-typed-nodeps-es6,arg,1
tsc,top1k-typed-nodeps-es6,argparse,0
tsc,top1k-typed-nodeps-es6,arr-diff,0
tsc,top1k-typed-nodeps-es6,arr-union,0
tsc,top1k-typed-nodeps-es6,array-union,1
tsc,top1k-typed-nodeps-es6,array-uniq,1
tsc,top1k-typed-nodeps-es6,array-unique,0
tsc,top1k-typed-nodeps-es6,arrify,1
tsc,top1k-typed-nodeps-es6,assert-plus,0
tsc,top1k-typed-nodeps-es6,astral-regex,1
tsc,top1k-typed-nodeps-es6,async,0
tsc,top1k-typed-nodeps-es6,aws4,0
tsc,top1k-typed-nodeps-es6,balanced-match,1
tsc,top1k-typed-nodeps-es6,base64-js,0
tsc,top1k-typed-nodeps-es6,binary-extensions,0
tsc,top1k-typed-nodeps-es6,boolbase,1
tsc,top1k-typed-nodeps-es6,brorand,0
tsc,top1k-typed-nodeps-es6,browser-process-hrtime,1
tsc,top1k-typed-nodeps-es6,buffer-crc32,0
tsc,top1k-typed-nodeps-es6,buffer-from,1
tsc,top1k-typed-nodeps-es6,bytes,0
tsc,top1k-typed-nodeps-es6,callsites,1
tsc,top1k-typed-nodeps-es6,camelcase,1
tsc,top1k-typed-nodeps-es6,caseless,1
tsc,top1k-typed-nodeps-es6,char-regex,1
tsc,top1k-typed-nodeps-es6,chownr,0
tsc,top1k-typed-nodeps-es6,ci-info,0
tsc,top1k-typed-nodeps-es6,cjs-module-lexer,0
tsc,top1k-typed-nodeps-es6,cli-spinners,0
tsc,top1k-typed-nodeps-es6,co,0
tsc,top1k-typed-nodeps-es6,collect-v8-coverage,1
tsc,top1k-typed-nodeps-es6,color-name,1
tsc,top1k-typed-nodeps-es6,color-support,1
tsc,top1k-typed-nodeps-es6,colorette,0
tsc,top1k-typed-nodeps-es6,colors,0
tsc,top1k-typed-nodeps-es6,content-type,0
tsc,top1k-typed-nodeps-es6,cookie-signature,1
tsc,top1k-typed-nodeps-es6,cookie,0
tsc,top1k-typed-nodeps-es6,create-require,0
tsc,top1k-typed-nodeps-es6,cssesc,0
tsc,top1k-typed-nodeps-es6,decamelize,1
tsc,top1k-typed-nodeps-es6,decode-uri-component,1
tsc,top1k-typed-nodeps-es6,deep-extend,1
tsc,top1k-typed-nodeps-es6,deepmerge,0
tsc,top1k-typed-nodeps-es6,define-lazy-prop,1
tsc,top1k-typed-nodeps-es6,delegates,1
tsc,top1k-typed-nodeps-es6,depd,0
tsc,top1k-typed-nodeps-es6,detect-newline,1
tsc,top1k-typed-nodeps-es6,detect-node,1
tsc,top1k-typed-nodeps-es6,diff,0
tsc,top1k-typed-nodeps-es6,dotenv,0
tsc,top1k-typed-nodeps-es6,duplexer3,0
tsc,top1k-typed-nodeps-es6,ee-first,0
tsc,top1k-typed-nodeps-es6,emittery,0
