"System","Dataset","Package","File","Number of anys","Number of any[]","Number of Function","Total annotations"
tsc,top1k-typed-nodeps,@xtuc_long,index.d.ts,1,0,0,50
tsc,top1k-typed-nodeps,abab,index.d.ts,0,0,0,0
tsc,top1k-typed-nodeps,abab,karma.conf.d.ts,1,0,0,2
tsc,top1k-typed-nodeps,abab,lib/atob.d.ts,1,1,0,3
tsc,top1k-typed-nodeps,abab,lib/btoa.d.ts,1,1,0,3
tsc,top1k-typed-nodeps,abbrev,abbrev.d.ts,2,2,0,7
tsc,top1k-typed-nodeps,acorn-jsx,index.d.ts,38,0,0,42
tsc,top1k-typed-nodeps,acorn-jsx,xhtml.d.ts,0,0,0,253
tsc,top1k-typed-nodeps,ansi-colors,bench/colors.d.ts,0,0,0,0
tsc,top1k-typed-nodeps,ansi-colors,bench/dryrun.d.ts,0,0,0,0
tsc,top1k-typed-nodeps,ansi-colors,bench/index.d.ts,0,0,0,1
tsc,top1k-typed-nodeps,ansi-colors,bench/load-ansi-colors.d.ts,0,0,0,0
tsc,top1k-typed-nodeps,ansi-colors,bench/load-chalk.d.ts,0,0,0,0
tsc,top1k-typed-nodeps,ansi-colors,examples/alias.d.ts,0,0,0,0
tsc,top1k-typed-nodeps,ansi-colors,examples/chained.d.ts,0,0,0,0
tsc,top1k-typed-nodeps,ansi-colors,examples/colors.d.ts,0,0,0,0
tsc,top1k-typed-nodeps,ansi-colors,examples/nested.d.ts,0,0,0,0
tsc,top1k-typed-nodeps,ansi-colors,examples/nesting-bug.d.ts,0,0,0,0
tsc,top1k-typed-nodeps,ansi-colors,examples/ok.d.ts,0,0,0,0
tsc,top1k-typed-nodeps,ansi-colors,examples/readme-examples.d.ts,0,0,0,0
tsc,top1k-typed-nodeps,ansi-colors,examples/screenshot-table.d.ts,0,0,0,0
tsc,top1k-typed-nodeps,ansi-colors,examples/screenshot.d.ts,0,0,0,0
tsc,top1k-typed-nodeps,ansi-colors,examples/styles.d.ts,0,0,0,0
tsc,top1k-typed-nodeps,ansi-colors,examples/theme-custom-fn.d.ts,0,0,0,0
tsc,top1k-typed-nodeps,ansi-colors,examples/theme.d.ts,0,0,0,0
tsc,top1k-typed-nodeps,ansi-colors,examples/theme2.d.ts,0,0,0,0
tsc,top1k-typed-nodeps,ansi-colors,examples/unstyle.d.ts,0,0,0,0
tsc,top1k-typed-nodeps,ansi-colors,index.d.ts,0,0,0,9
tsc,top1k-typed-nodeps,ansi-colors,symbols.d.ts,0,0,0,38
tsc,top1k-typed-nodeps,ansi-regex,fixtures/ansi-codes.d.ts,0,0,0,5
tsc,top1k-typed-nodeps,ansi-regex,fixtures/view-codes.d.ts,0,0,0,0
tsc,top1k-typed-nodeps,ansi-regex,index.d.ts,0,0,0,3
tsc,top1k-typed-nodeps,ansi-styles,index.d.ts,0,0,0,41
tsc,top1k-typed-nodeps,ansi-styles,screenshot.d.ts,0,0,0,0
tsc,top1k-typed-nodeps,arg,index.d.ts,7,1,0,13
tsc,top1k-typed-nodeps,argparse,argparse.d.ts,10,4,0,22
tsc,top1k-typed-nodeps,argparse,lib/sub.d.ts,2,1,0,3
tsc,top1k-typed-nodeps,argparse,lib/textwrap.d.ts,4,1,0,8
tsc,top1k-typed-nodeps,arr-diff,benchmark/check.d.ts,0,0,0,0
tsc,top1k-typed-nodeps,arr-diff,benchmark/code/arr-diff-3.0.0.d.ts,3,1,0,4
tsc,top1k-typed-nodeps,arr-diff,benchmark/code/arr-diff-4.0.0.d.ts,1,1,0,3
tsc,top1k-typed-nodeps,arr-diff,benchmark/code/array-differ.d.ts,1,0,0,1
tsc,top1k-typed-nodeps,arr-diff,benchmark/code/filter.d.ts,3,1,0,4
tsc,top1k-typed-nodeps,arr-diff,benchmark/code/for-negative.d.ts,2,2,0,4
tsc,top1k-typed-nodeps,arr-diff,benchmark/code/for.d.ts,2,2,0,4
tsc,top1k-typed-nodeps,arr-diff,benchmark/code/forEach.d.ts,2,2,0,4
tsc,top1k-typed-nodeps,arr-diff,benchmark/code/reduce-concat.d.ts,3,1,0,4
tsc,top1k-typed-nodeps,arr-diff,benchmark/code/reduce-push.d.ts,3,1,0,4
tsc,top1k-typed-nodeps,arr-diff,benchmark/code/while-arguments.d.ts,2,1,0,3
tsc,top1k-typed-nodeps,arr-diff,benchmark/code/while-indexof.d.ts,2,2,0,4
tsc,top1k-typed-nodeps,arr-diff,benchmark/code/while-multi-unshift.d.ts,4,1,0,5
tsc,top1k-typed-nodeps,arr-diff,benchmark/code/while-multi.d.ts,4,1,0,5
tsc,top1k-typed-nodeps,arr-diff,benchmark/code/while-push.d.ts,2,2,0,4
tsc,top1k-typed-nodeps,arr-diff,benchmark/code/while-splice-args.d.ts,3,1,0,4
tsc,top1k-typed-nodeps,arr-diff,benchmark/code/while-splice-for.d.ts,3,1,0,4
