Dataset,Package,File,"Number of errors"
top1k-typed-nodeps,buffer-crc32,index.ts,17
top1k-typed-nodeps,buffer-from,index.ts,7
top1k-typed-nodeps,bytes,index.ts,14
top1k-typed-nodeps,cacheable-lookup,benchmark.ts,23
top1k-typed-nodeps,cacheable-lookup,source/index.ts,103
top1k-typed-nodeps,callsites,index.ts,3
top1k-typed-nodeps,camelcase,index.ts,15
top1k-typed-nodeps,ci-info,index.ts,23
top1k-typed-nodeps,cjs-module-lexer,build.ts,9
top1k-typed-nodeps,cjs-module-lexer,lexer.ts,238
top1k-typed-nodeps,cjs-module-lexer,src/lexer.ts,43
top1k-typed-nodeps,cli-boxes,index.ts,0
top1k-typed-nodeps,clone,clone.ts,66
top1k-typed-nodeps,co,index.ts,28
top1k-typed-nodeps,collect-v8-coverage,index.ts,10
top1k-typed-nodeps,color-support,bin.ts,1
top1k-typed-nodeps,color-support,browser.ts,7
top1k-typed-nodeps,color-support,index.ts,88
top1k-typed-nodeps,colorette,bench/index.ts,9
top1k-typed-nodeps,colorette,index.ts,8
top1k-typed-nodeps,colors,examples/normal-usage.ts,31
top1k-typed-nodeps,colors,examples/safe-string.ts,30
top1k-typed-nodeps,colors,lib/colors.ts,54
top1k-typed-nodeps,colors,lib/custom/american.ts,3
top1k-typed-nodeps,colors,lib/custom/trap.ts,2
top1k-typed-nodeps,colors,lib/custom/zalgo.ts,17
top1k-typed-nodeps,colors,lib/extendStringPrototype.ts,16
top1k-typed-nodeps,colors,lib/index.ts,1
top1k-typed-nodeps,colors,lib/maps/america.ts,3
top1k-typed-nodeps,colors,lib/maps/rainbow.ts,0
top1k-typed-nodeps,colors,lib/maps/random.ts,0
top1k-typed-nodeps,colors,lib/maps/zebra.ts,1
top1k-typed-nodeps,colors,lib/styles.ts,3
top1k-typed-nodeps,colors,lib/system/has-flag.ts,1
top1k-typed-nodeps,colors,lib/system/supports-colors.ts,31
top1k-typed-nodeps,colors,safe.ts,0
top1k-typed-nodeps,colors,themes/generic-logging.ts,0
top1k-typed-nodeps,content-type,index.ts,12
top1k-typed-nodeps,cookie,benchmark/index.ts,4
top1k-typed-nodeps,cookie,benchmark/parse-top.ts,12
top1k-typed-nodeps,cookie,benchmark/parse.ts,15
top1k-typed-nodeps,cookie,index.ts,31
top1k-typed-nodeps,cookie,scripts/update-benchmark.ts,16
top1k-typed-nodeps,cookie,scripts/version-history.ts,10
top1k-typed-nodeps,cookie-signature,index.ts,6
top1k-typed-nodeps,create-require,create-require.ts,14
top1k-typed-nodeps,create-require,jest.config.ts,0
top1k-typed-nodeps,cssesc,Gruntfile.ts,3
top1k-typed-nodeps,cssesc,coverage/prettify.ts,158
top1k-typed-nodeps,cssesc,cssesc.ts,27
top1k-typed-nodeps,cssesc,src/cssesc.ts,26
top1k-typed-nodeps,cssesc,src/data.ts,2
top1k-typed-nodeps,cssom,build.ts,0
top1k-typed-nodeps,cssom,docs/fix-value/fix-value.ts,0
top1k-typed-nodeps,cssom,docs/parse.ts,0
top1k-typed-nodeps,cssom,lib/CSSConditionRule.ts,0
top1k-typed-nodeps,cssom,lib/CSSDocumentRule.ts,0
top1k-typed-nodeps,cssom,lib/CSSFontFaceRule.ts,0
top1k-typed-nodeps,cssom,lib/CSSGroupingRule.ts,0
top1k-typed-nodeps,cssom,lib/CSSHostRule.ts,0
top1k-typed-nodeps,cssom,lib/CSSImportRule.ts,0
top1k-typed-nodeps,cssom,lib/CSSKeyframeRule.ts,0
top1k-typed-nodeps,cssom,lib/CSSKeyframesRule.ts,0
top1k-typed-nodeps,cssom,lib/CSSMediaRule.ts,0
top1k-typed-nodeps,cssom,lib/CSSOM.ts,0
top1k-typed-nodeps,cssom,lib/CSSRule.ts,0
top1k-typed-nodeps,cssom,lib/CSSStyleDeclaration.ts,0
top1k-typed-nodeps,cssom,lib/CSSStyleRule.ts,0
top1k-typed-nodeps,cssom,lib/CSSStyleSheet.ts,0
top1k-typed-nodeps,cssom,lib/CSSSupportsRule.ts,0
top1k-typed-nodeps,cssom,lib/CSSValue.ts,0
top1k-typed-nodeps,cssom,lib/CSSValueExpression.ts,0
top1k-typed-nodeps,cssom,lib/MatcherList.ts,0
top1k-typed-nodeps,cssom,lib/MediaList.ts,0
top1k-typed-nodeps,cssom,lib/StyleSheet.ts,0
top1k-typed-nodeps,cssom,lib/clone.ts,0
top1k-typed-nodeps,cssom,lib/index.ts,0
top1k-typed-nodeps,cssom,lib/parse.ts,0
top1k-typed-nodeps,cssom,src/CSSOM_END.ts,2
top1k-typed-nodeps,cssom,src/CSSOM_START.ts,1
top1k-typed-nodeps,cssom,src/files.ts,0
top1k-typed-nodeps,cssom,src/loader.ts,0
top1k-typed-nodeps,decamelize,index.ts,2
top1k-typed-nodeps,decimal.js,decimal.ts,1184
top1k-typed-nodeps,decode-uri-component,index.ts,18
top1k-typed-nodeps,dedent,dedent.ts,0
top1k-typed-nodeps,dedent,dist/dedent.ts,0
top1k-typed-nodeps,dedent,flow-typed/npm/jest_v18.x.x.ts,13
top1k-typed-nodeps,dedent,macro.ts,0
top1k-typed-nodeps,deepmerge,index.ts,24
top1k-typed-nodeps,deepmerge,rollup.config.ts,3
top1k-typed-nodeps,define-lazy-prop,index.ts,1
top1k-typed-nodeps,delegates,index.ts,21
top1k-typed-nodeps,depd,benchmark/index.ts,4
top1k-typed-nodeps,depd,benchmark/wrapfunction.ts,10
top1k-typed-nodeps,depd,benchmark/wrapproperty.ts,9
top1k-typed-nodeps,depd,index.ts,64
top1k-typed-nodeps,depd,lib/browser/index.ts,6
top1k-typed-nodeps,destroy,index.ts,46
top1k-typed-nodeps,detect-newline,index.ts,1
top1k-typed-nodeps,diff,Gruntfile.ts,17
top1k-typed-nodeps,diff,examples/node_example.ts,4
top1k-typed-nodeps,diff,karma.conf.ts,2
top1k-typed-nodeps,diff,rollup.config.ts,2
top1k-typed-nodeps,diff,runtime.ts,0
top1k-typed-nodeps,diff,src/convert/dmp.ts,4
top1k-typed-nodeps,diff,src/convert/xml.ts,7
top1k-typed-nodeps,diff,src/diff/array.ts,1
top1k-typed-nodeps,diff,src/diff/base.ts,28
top1k-typed-nodeps,diff,src/diff/character.ts,1
top1k-typed-nodeps,diff,src/diff/css.ts,2
top1k-typed-nodeps,diff,src/diff/json.ts,11
top1k-typed-nodeps,diff,src/diff/line.ts,3
top1k-typed-nodeps,diff,src/diff/sentence.ts,2
top1k-typed-nodeps,diff,src/diff/word.ts,5
top1k-typed-nodeps,diff,src/index.ts,0
top1k-typed-nodeps,diff,src/patch/apply.ts,29
top1k-typed-nodeps,diff,src/patch/create.ts,41
top1k-typed-nodeps,diff,src/patch/merge.ts,169
top1k-typed-nodeps,diff,src/patch/parse.ts,19
top1k-typed-nodeps,diff,src/util/array.ts,0
top1k-typed-nodeps,diff,src/util/distance-iterator.ts,0
top1k-typed-nodeps,diff,src/util/params.ts,1
top1k-typed-nodeps,diff,tasks/version.ts,8
top1k-typed-nodeps,dotenv,config.ts,0
top1k-typed-nodeps,dotenv,lib/cli-options.ts,0
top1k-typed-nodeps,dotenv,lib/env-options.ts,4
top1k-typed-nodeps,dotenv,lib/main.ts,13
top1k-typed-nodeps,duplexer3,example.ts,13
top1k-typed-nodeps,duplexer3,index.ts,13
top1k-typed-nodeps,ee-first,index.ts,6
top1k-typed-nodeps,emittery,examples/clock.ts,13
top1k-typed-nodeps,emittery,examples/emit.ts,1
top1k-typed-nodeps,emittery,examples/emitonce.ts,1
top1k-typed-nodeps,emittery,examples/eventdata.ts,1
top1k-typed-nodeps,emittery,index.ts,15
top1k-typed-nodeps,emittery,maps.ts,0
top1k-typed-nodeps,emoji-regex,index.ts,0
top1k-typed-nodeps,emoji-regex,script/build.ts,3
top1k-typed-nodeps,emoji-regex,src/index.ts,0
top1k-typed-nodeps,encodeurl,index.ts,0
top1k-typed-nodeps,escalade,bench/index.ts,16
top1k-typed-nodeps,escalade,bench/load.ts,3
top1k-typed-nodeps,escalade,src/async.ts,2
top1k-typed-nodeps,escalade,src/sync.ts,5
top1k-typed-nodeps,escape-html,benchmark/index.ts,10
top1k-typed-nodeps,escape-html,index.ts,1
top1k-typed-nodeps,escape-string-regexp,index.ts,0
top1k-typed-nodeps,eslint-visitor-keys,lib/index.ts,6
top1k-typed-nodeps,eslint-visitor-keys,lib/visitor-keys.ts,0
top1k-typed-nodeps,eslint-visitor-keys,rollup.config.ts,0
top1k-typed-nodeps,eslint-visitor-keys,tools/backward-compatible-keys.ts,0
top1k-typed-nodeps,eslint-visitor-keys,tools/build-keys-from-ts.ts,5
top1k-typed-nodeps,eslint-visitor-keys,tools/get-keys-from-ts.ts,26
top1k-typed-nodeps,estraverse,estraverse.ts,114
top1k-typed-nodeps,estraverse,gulpfile.ts,6
top1k-typed-nodeps,esutils,lib/ast.ts,14
top1k-typed-nodeps,esutils,lib/code.ts,16
top1k-typed-nodeps,esutils,lib/keyword.ts,10
top1k-typed-nodeps,esutils,lib/utils.ts,0
top1k-typed-nodeps,esutils,tools/generate-identifier-regex.ts,7
top1k-typed-nodeps,etag,benchmark/body0-100b.ts,17
top1k-typed-nodeps,etag,benchmark/body1-1kb.ts,17
top1k-typed-nodeps,etag,benchmark/body2-5kb.ts,17
top1k-typed-nodeps,etag,benchmark/body3-10kb.ts,17
top1k-typed-nodeps,etag,benchmark/body4-100kb.ts,17
top1k-typed-nodeps,etag,benchmark/index.ts,4
top1k-typed-nodeps,etag,benchmark/stats.ts,14
top1k-typed-nodeps,etag,index.ts,17
top1k-typed-nodeps,eventemitter3,benchmarks/run/add-remove.ts,28
top1k-typed-nodeps,eventemitter3,benchmarks/run/context.ts,52
top1k-typed-nodeps,eventemitter3,benchmarks/run/emit-multiple-listeners.ts,46
top1k-typed-nodeps,eventemitter3,benchmarks/run/emit.ts,52
top1k-typed-nodeps,eventemitter3,benchmarks/run/hundreds.ts,28
top1k-typed-nodeps,eventemitter3,benchmarks/run/init.ts,11
top1k-typed-nodeps,eventemitter3,benchmarks/run/listeners.ts,17
top1k-typed-nodeps,eventemitter3,benchmarks/run/once.ts,22
top1k-typed-nodeps,eventemitter3,benchmarks/run/remove-emit.ts,45
top1k-typed-nodeps,eventemitter3,benchmarks/template.ts,2
top1k-typed-nodeps,eventemitter3,index.ts,47
top1k-typed-nodeps,events,events.ts,69
top1k-typed-nodeps,eventsource,example/eventsource-polyfill.ts,2124
top1k-typed-nodeps,eventsource,example/sse-client.ts,4
top1k-typed-nodeps,eventsource,example/sse-server.ts,7
top1k-typed-nodeps,eventsource,lib/eventsource-polyfill.ts,3
top1k-typed-nodeps,eventsource,lib/eventsource.ts,111
top1k-typed-nodeps,exec-sh,example/example.ts,1
top1k-typed-nodeps,exec-sh,lib/exec-sh.ts,16
top1k-typed-nodeps,exit,Gruntfile.ts,5
top1k-typed-nodeps,exit,lib/exit.ts,5
top1k-typed-nodeps,extend,index.ts,9
top1k-typed-nodeps,extsprintf,examples/simple.ts,3
top1k-typed-nodeps,extsprintf,lib/extsprintf.ts,23
top1k-typed-nodeps,fast-deep-equal,benchmark/index.ts,5
top1k-typed-nodeps,fast-deep-equal,build.ts,8
top1k-typed-nodeps,fast-json-stable-stringify,benchmark/index.ts,5
top1k-typed-nodeps,fast-json-stable-stringify,example/key_cmp.ts,2
top1k-typed-nodeps,fast-json-stable-stringify,example/nested.ts,0
top1k-typed-nodeps,fast-json-stable-stringify,example/str.ts,0
top1k-typed-nodeps,fast-json-stable-stringify,example/value_cmp.ts,2
top1k-typed-nodeps,fast-json-stable-stringify,index.ts,8
top1k-typed-nodeps,filter-obj,benchmark.ts,4
top1k-typed-nodeps,filter-obj,index.ts,0
top1k-typed-nodeps,flatted,cjs/index.ts,16
top1k-typed-nodeps,flatted,es.ts,20
top1k-typed-nodeps,flatted,esm/index.ts,16
top1k-typed-nodeps,flatted,esm.ts,16
top1k-typed-nodeps,flatted,index.ts,34
top1k-typed-nodeps,flatted,min.ts,27
top1k-typed-nodeps,flatted,rollup/babel.config.ts,1
top1k-typed-nodeps,flatted,rollup/es.config.ts,1
top1k-typed-nodeps,flatted,rollup/esm.config.ts,1
top1k-typed-nodeps,follow-redirects,debug.ts,0
top1k-typed-nodeps,follow-redirects,http.ts,0
top1k-typed-nodeps,follow-redirects,https.ts,0
top1k-typed-nodeps,follow-redirects,index.ts,134
top1k-typed-nodeps,forwarded,benchmark/index.ts,11
top1k-typed-nodeps,forwarded,index.ts,5
top1k-typed-nodeps,forwarded,scripts/version-history.ts,10
top1k-typed-nodeps,fraction.js,bigfraction.ts,81
top1k-typed-nodeps,fraction.js,examples/angles.ts,4
top1k-typed-nodeps,fraction.js,examples/approx.ts,6
top1k-typed-nodeps,fraction.js,examples/egyptian.ts,3
top1k-typed-nodeps,fraction.js,examples/hesse-convergence.ts,23
top1k-typed-nodeps,fraction.js,examples/integrate.ts,4
top1k-typed-nodeps,fraction.js,examples/rational-pow.ts,9
top1k-typed-nodeps,fraction.js,examples/tape-measure.ts,1
top1k-typed-nodeps,fraction.js,examples/toFraction.ts,4
top1k-typed-nodeps,fraction.js,examples/valueOfPi.ts,7
top1k-typed-nodeps,fraction.js,fraction.min.ts,143
top1k-typed-nodeps,fraction.js,fraction.ts,31
top1k-typed-nodeps,fresh,benchmark/etag.ts,11
top1k-typed-nodeps,fresh,benchmark/index.ts,4
top1k-typed-nodeps,fresh,benchmark/modified.ts,10
top1k-typed-nodeps,fresh,index.ts,4
top1k-typed-nodeps,fsevents,fsevents.ts,23
top1k-typed-nodeps,function-bind,implementation.ts,5
top1k-typed-nodeps,function-bind,index.ts,0
top1k-typed-nodeps,functional-red-black-tree,rbtree.ts,407
top1k-typed-nodeps,gensync,index.ts,40
top1k-typed-nodeps,get-stdin,index.ts,2
top1k-typed-nodeps,get-stream,buffer-stream.ts,6
top1k-typed-nodeps,get-stream,index.ts,11
top1k-typed-nodeps,glob-to-regexp,index.ts,5
top1k-typed-nodeps,graceful-fs,.github/workflows/package-json-repo.ts,4
top1k-typed-nodeps,graceful-fs,clone.ts,5
top1k-typed-nodeps,graceful-fs,graceful-fs.ts,101
top1k-typed-nodeps,graceful-fs,legacy-streams.ts,11
top1k-typed-nodeps,graceful-fs,polyfills.ts,109
top1k-typed-nodeps,hard-rejection,fixture-custom-log.ts,1
top1k-typed-nodeps,hard-rejection,fixture.ts,1
top1k-typed-nodeps,hard-rejection,index.ts,2
top1k-typed-nodeps,hard-rejection,register.ts,0
top1k-typed-nodeps,has-flag,index.ts,1
top1k-typed-nodeps,html-escaper,cjs/index.ts,3
top1k-typed-nodeps,html-escaper,esm/index.ts,1
top1k-typed-nodeps,html-escaper,index.ts,4
top1k-typed-nodeps,html-escaper,min.ts,3
top1k-typed-nodeps,html-escaper,rollup.config.ts,0
top1k-typed-nodeps,http-cache-semantics,index.ts,161
top1k-typed-nodeps,human-signals,ava.config.ts,1
top1k-typed-nodeps,human-signals,gulpfile.ts,1
top1k-typed-nodeps,human-signals,src/core.ts,0
top1k-typed-nodeps,human-signals,src/main.ts,10
top1k-typed-nodeps,human-signals,src/realtime.ts,2
top1k-typed-nodeps,human-signals,src/signals.ts,2
top1k-typed-nodeps,icss-utils,husky.config.ts,0
top1k-typed-nodeps,icss-utils,lint-staged.config.ts,0
top1k-typed-nodeps,icss-utils,src/createICSSRules.ts,13
top1k-typed-nodeps,icss-utils,src/extractICSS.ts,23
top1k-typed-nodeps,icss-utils,src/index.ts,4
top1k-typed-nodeps,icss-utils,src/replaceSymbols.ts,18
top1k-typed-nodeps,icss-utils,src/replaceValueSymbols.ts,2
top1k-typed-nodeps,ieee754,index.ts,0
top1k-typed-nodeps,iferr,iferr.ts,1
top1k-typed-nodeps,ignore,.eslintrc.ts,0
top1k-typed-nodeps,ignore,index.ts,45
top1k-typed-nodeps,import-from,fixture/fixture.ts,0
top1k-typed-nodeps,import-from,index.ts,2
top1k-typed-nodeps,import-lazy,fixtures/baz.ts,0
top1k-typed-nodeps,import-lazy,fixtures/class.ts,1
top1k-typed-nodeps,import-lazy,fixtures/fail.ts,0
top1k-typed-nodeps,import-lazy,fixtures/foo.bar.ts,0
top1k-typed-nodeps,import-lazy,fixtures/foo.ts,0
top1k-typed-nodeps,import-lazy,index.ts,3
top1k-typed-nodeps,imurmurhash,imurmurhash.min.ts,6
top1k-typed-nodeps,imurmurhash,imurmurhash.ts,5
top1k-typed-nodeps,indent-string,index.ts,5
top1k-typed-nodeps,inherits,.github/workflows/package-json-repo.ts,4
top1k-typed-nodeps,inherits,inherits.ts,2
top1k-typed-nodeps,inherits,inherits_browser.ts,8
top1k-typed-nodeps,interpret,cjs-stub.ts,0
top1k-typed-nodeps,interpret,index.ts,56
top1k-typed-nodeps,interpret,mjs-stub.ts,0
top1k-typed-nodeps,ip,.eslintrc.ts,0
top1k-typed-nodeps,ip,lib/ip.ts,91
top1k-typed-nodeps,ip-regex,index.ts,9
top1k-typed-nodeps,ipaddr.js,ipaddr.min.ts,104
top1k-typed-nodeps,ipaddr.js,lib/ipaddr.ts,98
top1k-typed-nodeps,is-absolute-url,index.ts,0
top1k-typed-nodeps,is-buffer,index.ts,2
top1k-typed-nodeps,is-callable,index.ts,3
top1k-typed-nodeps,is-directory,index.ts,5
top1k-typed-nodeps,is-docker,cli.ts,0
top1k-typed-nodeps,is-docker,index.ts,0
top1k-typed-nodeps,is-fullwidth-code-point,index.ts,0
top1k-typed-nodeps,is-generator-fn,index.ts,0
top1k-typed-nodeps,is-interactive,index.ts,1
top1k-typed-nodeps,is-number,benchmark/fixtures.ts,3
top1k-typed-nodeps,is-number,benchmark/index.ts,24
top1k-typed-nodeps,is-number,index.ts,1
top1k-typed-nodeps,is-obj,index.ts,0
top1k-typed-nodeps,is-path-cwd,index.ts,0
top1k-typed-nodeps,is-path-inside,index.ts,4
top1k-typed-nodeps,is-plain-object,is-plain-object.ts,3
top1k-typed-nodeps,is-plain-object,rollup.config.ts,0
top1k-typed-nodeps,is-promise,index.ts,1
top1k-typed-nodeps,is-stream,index.ts,11
top1k-typed-nodeps,is-typedarray,index.ts,11
top1k-typed-nodeps,is-unicode-supported,index.ts,0
top1k-typed-nodeps,is-windows,index.ts,5
top1k-typed-nodeps,isobject,index.ts,0
top1k-typed-nodeps,isstream,isstream.ts,9
top1k-typed-nodeps,jest-pnp-resolver,createRequire.ts,11
top1k-typed-nodeps,jest-pnp-resolver,getDefaultResolver.ts,0
top1k-typed-nodeps,jest-pnp-resolver,index.ts,6
top1k-typed-nodeps,jquery,Gruntfile.ts,34
top1k-typed-nodeps,jquery,build/release/cdn.ts,24
top1k-typed-nodeps,jquery,build/release/dist.ts,60
top1k-typed-nodeps,jquery,build/release.ts,13
top1k-typed-nodeps,jquery,build/tasks/amd.ts,8
top1k-typed-nodeps,jquery,build/tasks/build.ts,59
top1k-typed-nodeps,jquery,build/tasks/dist.ts,10
top1k-typed-nodeps,jquery,build/tasks/lib/rollup-plugin-file-overrides.ts,2
top1k-typed-nodeps,jquery,build/tasks/lib/slim-build-flags.ts,0
top1k-typed-nodeps,jquery,build/tasks/lib/spawn_test.ts,1
top1k-typed-nodeps,jquery,build/tasks/node_smoke_tests.ts,4
top1k-typed-nodeps,jquery,build/tasks/promises_aplus_tests.ts,3
top1k-typed-nodeps,jquery,build/tasks/qunit_fixture.ts,4
top1k-typed-nodeps,jquery,build/tasks/sourcemap.ts,5
top1k-typed-nodeps,jquery,build/tasks/testswarm.ts,17
top1k-typed-nodeps,jquery,src/ajax/jsonp.ts,23
top1k-typed-nodeps,jquery,src/ajax/load.ts,7
top1k-typed-nodeps,jquery,src/ajax/script.ts,18
top1k-typed-nodeps,jquery,src/ajax/var/location.ts,0
top1k-typed-nodeps,jquery,src/ajax/var/nonce.ts,0
top1k-typed-nodeps,jquery,src/ajax/var/rquery.ts,0
top1k-typed-nodeps,jquery,src/ajax/xhr.ts,35
top1k-typed-nodeps,jquery,src/ajax.ts,201
top1k-typed-nodeps,jquery,src/attributes/attr.ts,24
