"System","Dataset","Package","Number of function signatures compared","Number of correct annotations","Number of inferred anys","Number of annotations checked","Number of ground truth anys skipped"
deeptyper,top1k-typed-nodeps-es6,gensync,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,get-stdin,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,get-stream,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,glob-to-regexp,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,graceful-fs,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,hard-rejection,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,has-flag,1,2,1,3,0
deeptyper,top1k-typed-nodeps-es6,has-symbols,1,1,0,1,0
deeptyper,top1k-typed-nodeps-es6,html-escaper,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,http-cache-semantics,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,human-signals,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,icss-utils,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,ieee754,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,iferr,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,import-from,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,import-lazy,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,imurmurhash,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,indent-string,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,inherits,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,ini,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,interpret,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,invert-kv,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,ip,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,ip-regex,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,is-absolute-url,1,1,0,2,0
deeptyper,top1k-typed-nodeps-es6,is-buffer,1,0,2,1,1
deeptyper,top1k-typed-nodeps-es6,is-callable,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,is-directory,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,is-docker,1,1,0,1,0
deeptyper,top1k-typed-nodeps-es6,is-fullwidth-code-point,1,2,0,2,0
deeptyper,top1k-typed-nodeps-es6,is-generator-fn,1,0,1,2,0
deeptyper,top1k-typed-nodeps-es6,is-interactive,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,is-number,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,is-obj,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,is-path-cwd,1,1,1,2,0
deeptyper,top1k-typed-nodeps-es6,is-path-inside,1,3,0,3,0
deeptyper,top1k-typed-nodeps-es6,is-plain-obj,0,0,0,0,0
