"System","Dataset","Package","Type checks"
InCoder,top1k-typed-nodeps,ini,0
InCoder,top1k-typed-nodeps,interpret,0
InCoder,top1k-typed-nodeps,invert-kv,1
InCoder,top1k-typed-nodeps,ip-regex,1
InCoder,top1k-typed-nodeps,ip,0
InCoder,top1k-typed-nodeps,ipaddr.js,0
InCoder,top1k-typed-nodeps,is-absolute-url,0
InCoder,top1k-typed-nodeps,is-buffer,0
InCoder,top1k-typed-nodeps,is-callable,0
InCoder,top1k-typed-nodeps,is-directory,0
InCoder,top1k-typed-nodeps,is-docker,1
InCoder,top1k-typed-nodeps,is-fullwidth-code-point,1
InCoder,top1k-typed-nodeps,is-generator-fn,1
InCoder,top1k-typed-nodeps,is-interactive,0
InCoder,top1k-typed-nodeps,is-number,0
InCoder,top1k-typed-nodeps,is-obj,1
InCoder,top1k-typed-nodeps,is-path-cwd,0
InCoder,top1k-typed-nodeps,is-path-inside,0
InCoder,top1k-typed-nodeps,is-plain-obj,0
InCoder,top1k-typed-nodeps,is-plain-object,1
InCoder,top1k-typed-nodeps,is-promise,0
InCoder,top1k-typed-nodeps,is-stream,0
InCoder,top1k-typed-nodeps,is-typedarray,0
InCoder,top1k-typed-nodeps,is-unicode-supported,1
InCoder,top1k-typed-nodeps,is-windows,0
InCoder,top1k-typed-nodeps,isarray,0
InCoder,top1k-typed-nodeps,isexe,0
InCoder,top1k-typed-nodeps,isobject,1
InCoder,top1k-typed-nodeps,isstream,1
InCoder,top1k-typed-nodeps,jest-pnp-resolver,0
InCoder,top1k-typed-nodeps,jquery,0
InCoder,top1k-typed-nodeps,jsbn,0
InCoder,top1k-typed-nodeps,jsesc,0
InCoder,top1k-typed-nodeps,json-buffer,1
InCoder,top1k-typed-nodeps,json-parse-better-errors,1
InCoder,top1k-typed-nodeps,json-schema-traverse,0
InCoder,top1k-typed-nodeps,json-schema,0
InCoder,top1k-typed-nodeps,json-stringify-safe,0
InCoder,top1k-typed-nodeps,kind-of,0
InCoder,top1k-typed-nodeps,kleur,0
InCoder,top1k-typed-nodeps,klona,0
InCoder,top1k-typed-nodeps,leven,0
InCoder,top1k-typed-nodeps,load-json-file,0
InCoder,top1k-typed-nodeps,loader-runner,0
InCoder,top1k-typed-nodeps,lodash,0
InCoder,top1k-typed-nodeps,loglevel,0
InCoder,top1k-typed-nodeps,lowercase-keys,1
InCoder,top1k-typed-nodeps,make-error,0
InCoder,top1k-typed-nodeps,map-obj,0
InCoder,top1k-typed-nodeps,media-typer,0
InCoder,top1k-typed-nodeps,merge-descriptors,1
InCoder,top1k-typed-nodeps,merge-stream,0
InCoder,top1k-typed-nodeps,merge2,0
InCoder,top1k-typed-nodeps,methods,0
InCoder,top1k-typed-nodeps,mime-db,0
InCoder,top1k-typed-nodeps,mime,0
InCoder,top1k-typed-nodeps,mimic-fn,0
InCoder,top1k-typed-nodeps,mimic-response,0
InCoder,top1k-typed-nodeps,min-indent,1
InCoder,top1k-typed-nodeps,minimalistic-assert,0
InCoder,top1k-typed-nodeps,mkdirp,0
InCoder,top1k-typed-nodeps,mute-stream,0
InCoder,top1k-typed-nodeps,nanocolors,0
InCoder,top1k-typed-nodeps,nanoid,0
