Dataset,Package,File,"Error code",Count
top1k-typed-nodeps,ansi-styles,index.ts,TS2488,1
top1k-typed-nodeps,ansi-styles,index.ts,TS2740,1
top1k-typed-nodeps,ansi-styles,screenshot.ts,TS2339,2
top1k-typed-nodeps,argparse,argparse.ts,TS2339,318
top1k-typed-nodeps,argparse,argparse.ts,TS2355,1
top1k-typed-nodeps,argparse,argparse.ts,TS2304,4
top1k-typed-nodeps,argparse,argparse.ts,TS4060,4
top1k-typed-nodeps,argparse,argparse.ts,TS2322,33
top1k-typed-nodeps,argparse,argparse.ts,TS2349,89
top1k-typed-nodeps,argparse,argparse.ts,TS2769,1
top1k-typed-nodeps,argparse,argparse.ts,TS2345,45
top1k-typed-nodeps,argparse,argparse.ts,TS2314,4
top1k-typed-nodeps,argparse,argparse.ts,TS2740,2
top1k-typed-nodeps,argparse,argparse.ts,TS2507,23
top1k-typed-nodeps,argparse,argparse.ts,TS2554,10
top1k-typed-nodeps,argparse,argparse.ts,TS2551,4
top1k-typed-nodeps,argparse,argparse.ts,TS2351,13
top1k-typed-nodeps,argparse,argparse.ts,TS2556,2
top1k-typed-nodeps,argparse,argparse.ts,TS2359,2
top1k-typed-nodeps,argparse,lib/sub.ts,TS2769,1
top1k-typed-nodeps,argparse,lib/sub.ts,TS2339,1
top1k-typed-nodeps,argparse,lib/textwrap.ts,TS2339,53
top1k-typed-nodeps,argparse,lib/textwrap.ts,TS2322,2
top1k-typed-nodeps,arr-diff,benchmark/check.ts,TS2339,7
top1k-typed-nodeps,arr-diff,benchmark/code/arr-diff-3.0.0.ts,TS2393,1
top1k-typed-nodeps,arr-diff,benchmark/code/arr-diff-3.0.0.ts,TS2304,1
top1k-typed-nodeps,arr-diff,benchmark/code/arr-diff-3.0.0.ts,TS2551,1
top1k-typed-nodeps,arr-diff,benchmark/code/reduce-concat.ts,TS2769,1
top1k-typed-nodeps,arr-diff,benchmark/code/reduce-concat.ts,TS2339,1
top1k-typed-nodeps,arr-diff,benchmark/code/reduce-push.ts,TS2769,1
top1k-typed-nodeps,arr-diff,benchmark/code/while-arguments.ts,TS2393,2
top1k-typed-nodeps,arr-diff,benchmark/code/while-arguments.ts,TS2322,1
top1k-typed-nodeps,arr-diff,benchmark/code/while-arguments.ts,TS2769,1
top1k-typed-nodeps,arr-diff,benchmark/code/while-splice-args.ts,TS2393,2
top1k-typed-nodeps,arr-diff,benchmark/code/while-splice-args.ts,TS2304,1
top1k-typed-nodeps,arr-diff,benchmark/code/while-splice-for.ts,TS2393,1
top1k-typed-nodeps,arr-diff,benchmark/code/while-splice-for.ts,TS2304,1
top1k-typed-nodeps,arr-diff,benchmark/code/while-splice-for.ts,TS2551,1
top1k-typed-nodeps,arr-diff,benchmark/code/while-splice-pop-flatten.ts,TS2393,1
top1k-typed-nodeps,arr-diff,benchmark/code/while-splice-pop-flatten.ts,TS2304,1
top1k-typed-nodeps,arr-diff,benchmark/code/while-splice-pop.ts,TS2393,1
top1k-typed-nodeps,arr-diff,benchmark/code/while-splice-pop.ts,TS2304,1
top1k-typed-nodeps,arr-diff,benchmark/code/while-splice-recurse.ts,TS2393,1
top1k-typed-nodeps,arr-diff,benchmark/index.ts,TS2351,1
top1k-typed-nodeps,arr-diff,benchmark/index.ts,TS2339,5
top1k-typed-nodeps,arr-diff,index.ts,TS2322,1
top1k-typed-nodeps,arr-diff,index.ts,TS2769,1
top1k-typed-nodeps,arr-diff,index.ts,TS2393,1
top1k-typed-nodeps,arr-union,benchmark/check.ts,TS2339,7
top1k-typed-nodeps,arr-union,benchmark/code/2-1-0.ts,TS2393,1
top1k-typed-nodeps,arr-union,benchmark/code/concat-apply.ts,TS2304,1
top1k-typed-nodeps,arr-union,benchmark/code/for-concat.ts,TS2304,1
top1k-typed-nodeps,arr-union,benchmark/code/for-concat.ts,TS2339,1
top1k-typed-nodeps,arr-union,benchmark/code/for-each.ts,TS2304,1
top1k-typed-nodeps,arr-union,benchmark/code/for.ts,TS2339,1
top1k-typed-nodeps,arr-union,benchmark/code/reduce.ts,TS2304,1
top1k-typed-nodeps,arr-union,benchmark/code/while-concat.ts,TS2304,1
top1k-typed-nodeps,arr-union,benchmark/code/while-for-unique.ts,TS2304,1
top1k-typed-nodeps,arr-union,benchmark/code/while-push-apply.ts,TS2304,1
top1k-typed-nodeps,arr-union,benchmark/code/while-while-unique.ts,TS2304,1
top1k-typed-nodeps,arr-union,benchmark/code/while-while.ts,TS2393,1
top1k-typed-nodeps,arr-union,benchmark/index.ts,TS2351,1
top1k-typed-nodeps,arr-union,benchmark/index.ts,TS2339,1
top1k-typed-nodeps,array-uniq,index.ts,TS2769,1
top1k-typed-nodeps,array-unique,benchmark/code/for-in.ts,TS2405,1
top1k-typed-nodeps,array-unique,benchmark/index.ts,TS2351,1
top1k-typed-nodeps,array-unique,benchmark/index.ts,TS2339,1
top1k-typed-nodeps,arrify,index.ts,TS2488,1
top1k-typed-nodeps,assert-plus,assert.ts,TS2304,2
top1k-typed-nodeps,assert-plus,assert.ts,TS4060,2
top1k-typed-nodeps,assert-plus,assert.ts,TS2339,19
top1k-typed-nodeps,assert-plus,assert.ts,TS2358,3
top1k-typed-nodeps,assert-plus,assert.ts,TS2359,1
top1k-typed-nodeps,assert-plus,assert.ts,TS2554,1
top1k-typed-nodeps,assert-plus,assert.ts,TS2345,4
top1k-typed-nodeps,astral-regex,index.ts,TS2339,1
top1k-typed-nodeps,atob,bin/atob.ts,TS2384,1
top1k-typed-nodeps,atob,browser-atob.ts,TS2345,3
top1k-typed-nodeps,atob,browser-atob.ts,TS2339,4
top1k-typed-nodeps,atob,browser-atob.ts,TS2740,1
top1k-typed-nodeps,atob,node-atob.ts,TS2384,2
top1k-typed-nodeps,aws4,aws4.ts,TS2403,1
top1k-typed-nodeps,aws4,aws4.ts,TS2314,1
top1k-typed-nodeps,aws4,aws4.ts,TS2339,52
top1k-typed-nodeps,aws4,aws4.ts,TS2304,1
top1k-typed-nodeps,aws4,aws4.ts,TS4060,1
top1k-typed-nodeps,aws4,aws4.ts,TS2740,3
top1k-typed-nodeps,aws4,aws4.ts,TS2554,4
top1k-typed-nodeps,aws4,aws4.ts,TS2345,1
top1k-typed-nodeps,aws4,aws4.ts,TS2322,2
top1k-typed-nodeps,aws4,aws4.ts,TS2769,1
top1k-typed-nodeps,aws4,aws4.ts,TS2350,1
top1k-typed-nodeps,aws4,browser/index.ts,TS2403,1
top1k-typed-nodeps,aws4,browser/index.ts,TS2339,3
top1k-typed-nodeps,aws4,example.ts,TS2304,1
top1k-typed-nodeps,aws4,example.ts,TS4060,1
top1k-typed-nodeps,aws4,example.ts,TS2339,45
top1k-typed-nodeps,aws4,lru.ts,TS2350,3
top1k-typed-nodeps,aws4,lru.ts,TS2304,3
top1k-typed-nodeps,aws4,lru.ts,TS4060,3
top1k-typed-nodeps,aws4,lru.ts,TS2339,16
top1k-typed-nodeps,balanced-match,example.ts,TS2345,2
top1k-typed-nodeps,balanced-match,index.ts,TS2322,4
top1k-typed-nodeps,balanced-match,index.ts,TS2345,3
top1k-typed-nodeps,balanced-match,index.ts,TS2769,1
top1k-typed-nodeps,balanced-match,index.ts,TS2365,1
top1k-typed-nodeps,base64-js,base64js.min.ts,TS2304,3
top1k-typed-nodeps,base64-js,base64js.min.ts,TS2339,16
top1k-typed-nodeps,base64-js,base64js.min.ts,TS2554,3
top1k-typed-nodeps,base64-js,base64js.min.ts,TS2345,3
top1k-typed-nodeps,base64-js,base64js.min.ts,TS2365,1
top1k-typed-nodeps,base64-js,base64js.min.ts,TS2322,2
top1k-typed-nodeps,base64-js,base64js.min.ts,TS2367,2
top1k-typed-nodeps,base64-js,base64js.min.ts,TS2363,1
top1k-typed-nodeps,base64-js,bench/basic.ts,TS2451,4
top1k-typed-nodeps,base64-js,bench/basic.ts,TS2339,3
top1k-typed-nodeps,base64-js,bench/basic.ts,TS2588,1
top1k-typed-nodeps,base64-js,bench/bench.ts,TS2339,7
top1k-typed-nodeps,base64-js,bench/bench.ts,TS2451,3
top1k-typed-nodeps,base64-js,bench/bench.ts,TS2314,1
top1k-typed-nodeps,base64-js,index.ts,TS2322,2
top1k-typed-nodeps,base64-js,index.ts,TS2451,1
top1k-typed-nodeps,base64-js,index.ts,TS2362,1
top1k-typed-nodeps,base64-js,index.ts,TS2345,4
top1k-typed-nodeps,base64-js,index.ts,TS2351,1
top1k-typed-nodeps,base64-js,index.ts,TS2339,9
top1k-typed-nodeps,brorand,index.ts,TS2350,1
top1k-typed-nodeps,brorand,index.ts,TS2339,3
top1k-typed-nodeps,brorand,index.ts,TS2304,1
top1k-typed-nodeps,brorand,index.ts,TS4060,1
top1k-typed-nodeps,brorand,index.ts,TS2740,1
top1k-typed-nodeps,brorand,index.ts,TS2769,3
top1k-typed-nodeps,brorand,index.ts,TS2322,4
top1k-typed-nodeps,brorand,index.ts,TS2345,1
top1k-typed-nodeps,brorand,index.ts,TS2551,3
top1k-typed-nodeps,brorand,index.ts,TS2403,1
top1k-typed-nodeps,buffer-crc32,index.ts,TS2769,1
top1k-typed-nodeps,buffer-crc32,index.ts,TS2351,2
top1k-typed-nodeps,buffer-crc32,index.ts,TS2339,9
top1k-typed-nodeps,buffer-crc32,index.ts,TS2740,1
top1k-typed-nodeps,buffer-crc32,index.ts,TS2322,3
top1k-typed-nodeps,buffer-crc32,index.ts,TS2345,1
top1k-typed-nodeps,buffer-from,index.ts,TS2300,1
top1k-typed-nodeps,buffer-from,index.ts,TS2339,1
top1k-typed-nodeps,buffer-from,index.ts,TS2740,2
top1k-typed-nodeps,buffer-from,index.ts,TS2345,2
top1k-typed-nodeps,buffer-from,index.ts,TS2322,1
top1k-typed-nodeps,bytes,index.ts,TS2322,2
top1k-typed-nodeps,bytes,index.ts,TS2339,11
top1k-typed-nodeps,bytes,index.ts,TS2769,1
top1k-typed-nodeps,cacheable-lookup,benchmark.ts,TS2451,1
top1k-typed-nodeps,cacheable-lookup,benchmark.ts,TS2749,1
top1k-typed-nodeps,cacheable-lookup,benchmark.ts,TS4025,1
top1k-typed-nodeps,cacheable-lookup,benchmark.ts,TS2351,1
top1k-typed-nodeps,cacheable-lookup,benchmark.ts,TS2339,17
top1k-typed-nodeps,cacheable-lookup,benchmark.ts,TS2345,1
top1k-typed-nodeps,cacheable-lookup,benchmark.ts,TS2769,1
top1k-typed-nodeps,cacheable-lookup,source/index.ts,TS2322,3
top1k-typed-nodeps,cacheable-lookup,source/index.ts,TS2749,2
top1k-typed-nodeps,cacheable-lookup,source/index.ts,TS2339,70
top1k-typed-nodeps,cacheable-lookup,source/index.ts,TS2488,1
