Package,File,"Number of errors"
stealthy-require,gulpfile.ts,35
stealthy-require,lib/index.ts,19
strip-eof,index.ts,6
style-loader,.eslintrc.ts,0
style-loader,babel.config.ts,2
style-loader,commitlint.config.ts,0
style-loader,lint-staged.config.ts,0
style-loader,src/cjs.ts,1
style-loader,src/index.ts,49
style-loader,src/runtime/injectStylesIntoLinkTag.ts,15
style-loader,src/runtime/injectStylesIntoStyleTag.ts,42
style-loader,src/runtime/insertBySelector.ts,10
style-loader,src/runtime/insertStyleElement.ts,5
style-loader,src/runtime/isEqualLocals.ts,3
style-loader,src/runtime/isOldIE.ts,3
style-loader,src/runtime/setAttributesWithAttributes.ts,7
style-loader,src/runtime/setAttributesWithAttributesAndNonce.ts,4
style-loader,src/runtime/setAttributesWithoutAttributes.ts,5
style-loader,src/runtime/singletonStyleDomAPI.ts,27
style-loader,src/runtime/styleDomAPI.ts,20
style-loader,src/runtime/styleTagTransform.ts,4
style-loader,src/utils.ts,56
to-arraybuffer,index.ts,6
toidentifier,index.ts,1
toidentifier,scripts/version-history.ts,13
tty-browserify,index.ts,2
unicode-match-property-value-ecmascript,data/mappings.ts,0
unicode-match-property-value-ecmascript,index.ts,3
unicode-match-property-value-ecmascript,scripts/build.ts,4
unicode-property-aliases-ecmascript,index.ts,0
unicode-property-aliases-ecmascript,scripts/build.ts,7
unpipe,index.ts,10
use,examples/app.ts,51
use,examples/layered.ts,24
use,gulpfile.ts,9
use,index.ts,37
v8-compile-cache,bench/_measure.ts,7
v8-compile-cache,bench/require-babel-core.ts,1
v8-compile-cache,bench/require-flow-parser.ts,1
v8-compile-cache,bench/require-rxjs-bundle.ts,1
v8-compile-cache,bench/require-rxjs-module.ts,1
v8-compile-cache,bench/require-yarn.ts,1
v8-compile-cache,v8-compile-cache.ts,132
vm-browserify,example/run/bundle.ts,73
vm-browserify,example/run/entry.ts,3
vm-browserify,example/run/server.ts,2
vm-browserify,index.ts,50
weak-map,bench.ts,11
weak-map,weak-map.ts,81
whatwg-fetch,fetch.ts,224
whatwg-fetch,prettier.config.ts,0
whatwg-fetch,rollup.config.ts,0
which-module,index.ts,3
wrappy,wrappy.ts,8
