"Package","Number of deps","Lines of JS code","Number of JS files","Size of files JS (bytes)","Lines of TS code","Number of TS files","Size of TS (bytes)"
@xtuc_long,0,612,1,41417,93,2,9966
abab,0,118,4,6007,2,1,117
abbrev,0,52,1,1763,0,0,0
acorn-jsx,0,648,2,20545,9,1,262
ansi-colors,0,644,21,25766,239,2,8015
ansi-regex,0,254,3,11257,8,2,843
ansi-styles,0,203,2,5922,170,2,8495
arg,0,161,1,4464,34,1,891
argparse,0,2875,3,149357,0,0,0
arr-diff,0,6070,29,204797,0,0,0
arr-union,0,250,24,6308,0,0,0
array-union,0,2,1,99,14,2,1132
array-uniq,0,3,1,74,4,2,457
array-unique,0,136,13,3086,0,0,0
arrify,0,15,1,305,42,2,2117
assert-plus,0,174,1,5433,0,0,0
astral-regex,0,4,1,203,11,2,832
async,0,7857,135,987646,0,0,0
atob,0,38,3,1614,0,0,0
aws4,0,506,4,24545,0,0,0
balanced-match,0,57,2,1596,0,0,0
base64-js,0,162,4,7544,3,1,161
big.js,0,4050,6,372479,0,0,0
binary-extensions,0,1,1,54,9,3,578
bn.js,0,3363,4,106280,0,0,0
boolbase,0,12,2,339,0,0,0
brorand,0,50,1,1510,0,0,0
browser-process-hrtime,0,23,1,841,4,1,125
buffer-crc32,0,107,1,4631,0,0,0
buffer-from,0,54,1,1675,0,0,0
bytes,0,85,1,3613,0,0,0
cacheable-lookup,0,404,2,11942,96,2,6924
callsites,0,7,1,291,33,2,2838
camelcase,0,85,1,3214,20,2,3133
caniuse-lite,0,1729,834,1845048,0,0,0
caseless,0,74,1,2017,0,0,0
char-regex,0,67,2,4975,4,2,420
chownr,0,145,2,4833,0,0,0
ci-info,0,56,1,1816,43,1,2303
cjs-module-lexer,0,1438,3,57121,6,1,192
cli-boxes,0,4,1,167,37,2,2239
cli-spinners,0,61,3,1989,100,2,2105
clone,0,190,1,7767,0,0,0
co,0,101,1,5058,0,0,0
collect-v8-coverage,0,636,1,801,6,1,271
color-name,0,151,1,4465,0,0,0
color-support,0,124,3,3070,0,0,0
colorette,0,158,2,4130,89,1,2044
colors,0,708,17,29369,151,2,4873
component-emitter,0,78,1,3293,0,0,0
content-type,0,101,1,4929,0,0,0
cookie,0,352,6,11743,0,0,0
cookie-signature,0,22,1,1333,0,0,0
create-require,0,38,2,1312,2,1,105
cssesc,0,212,5,25596,0,0,0
decamelize,0,40,1,1901,13,2,1390
decimal.js,0,4553,1,130980,420,2,17891
decode-uri-component,0,65,1,2226,0,0,0
deep-extend,0,83,2,4340,0,0,0
deepmerge,0,108,2,3623,13,1,652
define-lazy-prop,0,16,1,429,18,2,1121
delegates,0,79,1,3042,0,0,0
depd,0,414,5,14414,0,0,0
destroy,0,87,1,4258,0,0,0
detect-newline,0,15,1,485,12,2,1221
detect-node,0,3,3,395,0,0,0
diff,0,1343,24,50624,0,0,0
dotenv,0,108,4,3661,18,2,2082
duplexer3,0,90,2,2429,0,0,0
ee-first,0,54,1,1703,0,0,0
emittery,0,502,6,15558,356,3,24824
emoji-regex,0,11,3,12117,4,1,90
encodeurl,0,10,1,1586,0,0,0
escape-html,0,76,2,2266,0,0,0
escape-string-regexp,0,8,1,469,4,2,581
eslint-visitor-keys,0,684,6,25682,0,0,0
estraverse,0,650,2,29747,0,0,0
esutils,0,381,5,44911,0,0,0
etag,0,354,8,10886,0,0,0
eventemitter3,0,708,11,27010,79,1,3470
events,0,372,1,14890,0,0,0
eventsource,0,7166,5,295414,0,0,0
exec-sh,0,84,2,2638,28,2,757
exit,0,65,2,2154,0,0,0
extend,0,84,1,3359,0,0,0
extsprintf,0,149,2,5733,0,0,0
fast-deep-equal,0,875,6,24157,2,4,320
fast-json-stable-stringify,0,91,6,3156,4,1,110
filesize,0,710,10,31150,65,1,4120
filter-obj,0,49,2,1916,64,2,3212
flatted,0,321,9,13457,20,1,2384
follow-redirects,0,466,4,19370,0,0,0
forever-agent,0,109,1,4199,0,0,0
forwarded,0,132,3,4311,0,0,0
fraction.js,0,1280,12,57132,48,1,1826
fresh,0,146,4,5276,0,0,0
fsevents,0,69,1,2424,46,1,1431
function-bind,0,45,2,1557,0,0,0
functional-red-black-tree,0,868,1,22324,0,0,0
gensync,0,306,1,9627,0,0,0
get-stdin,0,41,3,1237,9,2,1009
get-stream,0,88,2,2383,58,2,4763
glob-to-regexp,0,87,1,3434,0,0,0
graceful-fs,0,756,5,26507,0,0,0
hard-rejection,0,30,4,793,10,2,773
has-flag,0,7,1,407,5,2,898
has-symbols,0,34,2,2181,0,0,0
html-escaper,0,98,5,7816,0,0,0
http-cache-semantics,0,506,1,23795,0,0,0
human-signals,0,368,6,8885,47,2,2872
icss-utils,0,164,7,4906,0,0,0
ieee754,0,91,1,2226,9,1,332
iferr,0,12,1,837,0,0,0
ignore,0,340,2,15943,22,1,1492
import-from,0,11,2,393,8,2,1281
import-lazy,0,39,6,1257,8,2,816
imurmurhash,0,89,2,6306,0,0,0
indent-string,0,31,1,820,15,2,1056
inherits,0,46,3,1634,0,0,0
ini,0,212,3,6064,0,0,0
interpret,0,552,3,12706,0,0,0
invert-kv,0,14,1,396,11,2,755
ip,0,341,2,10776,0,0,0
ip-regex,0,27,1,2311,21,2,2001
ipaddr.js,0,717,2,45984,59,1,2918
is-absolute-url,0,11,1,503,4,2,484
is-buffer,0,4,1,301,2,1,63
is-callable,0,84,1,3029,0,0,0
is-directory,0,39,1,1117,6,1,184
is-docker,0,27,2,640,4,2,336
is-fullwidth-code-point,0,23,1,1606,4,2,695
is-generator-fn,0,8,1,287,13,2,841
is-interactive,0,7,1,181,9,2,750
is-number,0,238,3,5056,0,0,0
is-obj,0,4,1,142,6,2,594
is-path-cwd,0,11,1,292,4,2,404
is-path-inside,0,10,1,292,4,2,858
is-plain-obj,0,54,2,1523,10,2,1005
is-plain-object,0,33,2,1052,1,1,48
is-promise,0,8,1,201,2,1,108
is-stream,0,25,1,746,43,2,2624
is-typedarray,0,37,1,1016,0,0,0
is-unicode-supported,0,15,1,651,4,2,335
is-windows,0,20,1,824,0,0,0
isarray,0,5,1,148,0,0,0
isexe,0,130,4,3549,0,0,0
isobject,0,3,1,271,2,1,72
isstream,0,17,1,588,0,0,0
jest-pnp-resolver,0,57,3,2604,9,1,236
jquery,0,7745,130,310371,0,0,0
jsbn,0,1529,3,44259,0,0,0
jsesc,0,597,4,17172,0,0,0
json-buffer,0,47,1,1504,0,0,0
json-parse-better-errors,0,37,1,1086,0,0,0
json-schema,0,260,2,12812,0,0,0
json-schema-traverse,0,328,3,14014,35,1,740
json-stringify-safe,0,22,1,907,0,0,0
kind-of,0,434,32,15027,0,0,0
kleur,0,233,5,5869,67,2,2113
klona,0,811,13,20382,1,1,38
leven,0,103,2,4622,4,2,308
load-json-file,0,17,1,653,16,2,1756
loader-runner,0,420,3,14560,0,0,0
lodash,0,5221,393,357741,0,0,0
loglevel,0,512,4,31055,45,1,8629
