"Package","Number of deps","Lines of JS code","Number of JS files","Size of files JS (bytes)","Lines of TS code","Number of TS files","Size of TS (bytes)"
@gar_promisify,0,33,1,967,0,0,0
@humanwhocodes_object-schema,0,210,5,13027,0,0,0
@istanbuljs_schema,0,542,4,15991,0,0,0
@sellside_emitter,0,126,2,5957,0,0,0
@trysound_sax,0,1382,5,43598,0,0,0
acorn-import-assertions,0,337,3,21086,0,0,0
aproba,0,92,1,3644,0,0,0
arr-flatten,0,107,20,3677,0,0,0
assign-symbols,0,40,2,1397,0,0,0
async-each,0,33,1,1264,0,0,0
async-limiter,0,92,2,2958,0,0,0
asynckit,0,431,17,17033,0,0,0
at-least-node,0,47,3,1966,0,0,0
available-typed-arrays,0,24,1,519,0,0,0
aws-sign2,0,83,1,4416,0,0,0
buffer-equal-constant-time,0,28,1,1045,0,0,0
builtin-status-codes,0,72,3,2057,0,0,0
cli-width,0,37,1,903,0,0,0
code-point-at,0,23,1,610,0,0,0
console-browserify,0,70,1,1709,0,0,0
console-control-strings,0,166,2,5794,0,0,0
copy-descriptor,0,49,2,2414,0,0,0
core-util-is,0,68,1,3039,0,0,0
cyclist,0,28,1,683,0,0,0
deep-is,0,80,2,3311,0,0,0
delayed-stream,0,85,1,2319,0,0,0
domain-browser,0,58,1,1303,0,0,0
duplexer,0,67,1,1884,0,0,0
electron-to-chromium,0,3971,7,100180,0,0,0
emojis-list,0,3391,2,52652,0,0,0
es-module-lexer,0,1164,5,90310,100,1,7035
es6-object-assign,0,120,6,7362,0,0,0
figgy-pudding,0,189,1,4681,0,0,0
for-in,0,8,1,319,0,0,0
fs-constants,0,2,2,103,0,0,0
fs-monkey,0,374,9,13989,0,0,0
fs.realpath,1,267,3,10452,0,0,0
growly,0,204,4,12261,0,0,0
har-schema,0,21,1,714,0,0,0
has-bigints,0,8,1,347,0,0,0
has-unicode,0,8,1,657,0,0,0
infer-owner,0,60,1,1729,0,0,0
is-accessor-descriptor,0,39,1,1282,0,0,0
is-arrayish,0,8,1,318,0,0,0
is-descriptor,0,31,1,1160,0,0,0
is-extglob,0,12,1,459,0,0,0
is-map,0,33,1,904,0,0,0
is-negative-zero,0,4,1,122,0,0,0
is-potential-custom-element-name,0,34,2,2058,0,0,0
is-primitive,0,107,2,3684,0,0,0
is-set,0,33,1,904,0,0,0
is-weakmap,0,33,1,996,0,0,0
json-parse-even-better-errors,0,92,1,3899,0,0,0
json-stable-stringify-without-jsonify,0,90,5,3363,0,0,0
map-cache,0,21,1,1952,0,0,0
mdn-data,0,19,4,446,0,0,0
minimalistic-crypto-utils,0,53,1,1140,0,0,0
mixin-deep,0,28,1,743,0,0,0
nan,0,339,3,15923,0,0,0
node-domexception,0,13,1,461,0,0,0
node-modules-regexp,0,13,3,489,0,0,0
normalize-range,0,48,1,1454,0,0,0
oauth-sign,0,107,1,3926,0,0,0
os-browserify,0,36,2,1007,0,0,0
p-finally,0,14,1,218,0,0,0
path-dirname,0,115,1,3609,0,0,0
pop-iterate,0,69,4,2220,0,0,0
posix-character-classes,0,17,1,405,0,0,0
process,0,150,2,5518,0,0,0
process-nextick-args,0,42,1,1083,0,0,0
prr,0,48,1,1581,0,0,0
pseudomap,0,117,3,3275,0,0,0
querystring-es3,0,103,3,5181,0,0,0
regjsgen,0,301,1,11544,0,0,0
remove-trailing-separator,0,15,1,322,0,0,0
require-main-filename,0,16,1,427,0,0,0
resolve-alpn,0,34,1,859,0,0,0
resolve-url,0,33,1,1021,0,0,0
reusify,0,86,4,1934,0,0,0
run-async,0,74,1,2836,0,0,0
set-blocking,0,7,1,252,0,0,0
snapdragon-capture,0,31,1,1825,0,0,0
snapdragon-node,0,272,2,16914,0,0,0
source-map-url,0,45,1,1197,0,0,0
stealthy-require,0,135,2,4499,0,0,0
strip-eof,0,11,1,347,0,0,0
style-loader,0,903,19,28562,0,0,0
to-arraybuffer,0,20,1,881,0,0,0
toidentifier,0,57,2,2039,0,0,0
tty-browserify,0,9,1,284,0,0,0
unicode-canonical-property-names-ecmascript,0,58,1,1151,0,0,0
unicode-match-property-value-ecmascript,0,761,3,20959,0,0,0
unicode-property-aliases-ecmascript,0,93,2,2821,0,0,0
unpipe,0,32,1,1120,0,0,0
use,0,192,4,6262,0,0,0
v8-compile-cache,0,330,7,12314,0,0,0
vm-browserify,0,258,4,9305,0,0,0
weak-map,0,344,2,27118,0,0,0
websocket-extensions,0,927,10,39724,0,0,0
whatwg-fetch,0,520,3,16998,0,0,0
which-module,0,8,1,248,0,0,0
wrappy,0,20,1,800,0,0,0
