Package,File,"Number of errors"
remove-trailing-separator,index.ts,0
require-main-filename,index.ts,2
resolve-alpn,index.ts,1
resolve-url,resolve-url.ts,8
reusify,benchmarks/createNoCodeFunction.ts,0
reusify,benchmarks/fib.ts,0
reusify,benchmarks/reuseNoCodeFunction.ts,1
reusify,reusify.ts,2
run-async,index.ts,3
set-blocking,index.ts,5
snapdragon-capture,index.ts,1
snapdragon-node,example.ts,2
snapdragon-node,index.ts,78
source-map-url,source-map-url.ts,11
stealthy-require,gulpfile.ts,7
stealthy-require,lib/index.ts,2
strip-eof,index.ts,2
style-loader,.eslintrc.ts,NA
style-loader,babel.config.ts,NA
style-loader,commitlint.config.ts,NA
style-loader,lint-staged.config.ts,NA
style-loader,src/cjs.ts,NA
style-loader,src/index.ts,NA
style-loader,src/runtime/injectStylesIntoLinkTag.ts,NA
style-loader,src/runtime/injectStylesIntoStyleTag.ts,NA
style-loader,src/runtime/insertBySelector.ts,NA
style-loader,src/runtime/insertStyleElement.ts,NA
style-loader,src/runtime/isEqualLocals.ts,NA
style-loader,src/runtime/isOldIE.ts,NA
style-loader,src/runtime/setAttributesWithAttributes.ts,NA
style-loader,src/runtime/setAttributesWithAttributesAndNonce.ts,NA
style-loader,src/runtime/setAttributesWithoutAttributes.ts,NA
style-loader,src/runtime/singletonStyleDomAPI.ts,NA
style-loader,src/runtime/styleDomAPI.ts,NA
style-loader,src/runtime/styleTagTransform.ts,NA
to-arraybuffer,index.ts,0
toidentifier,index.ts,1
toidentifier,scripts/version-history.ts,0
tty-browserify,index.ts,0
unicode-canonical-property-names-ecmascript,index.ts,0
unicode-match-property-value-ecmascript,data/mappings.ts,0
unicode-match-property-value-ecmascript,index.ts,1
unicode-match-property-value-ecmascript,scripts/build.ts,1
unicode-property-aliases-ecmascript,index.ts,0
unicode-property-aliases-ecmascript,scripts/build.ts,1
unpipe,index.ts,2
use,examples/app.ts,6
use,examples/layered.ts,3
use,gulpfile.ts,4
use,index.ts,2
v8-compile-cache,bench/_measure.ts,2
v8-compile-cache,bench/require-babel-core.ts,1
v8-compile-cache,bench/require-flow-parser.ts,1
v8-compile-cache,bench/require-rxjs-bundle.ts,1
v8-compile-cache,bench/require-rxjs-module.ts,1
v8-compile-cache,bench/require-yarn.ts,1
v8-compile-cache,v8-compile-cache.ts,68
vm-browserify,example/run/bundle.ts,24
vm-browserify,example/run/entry.ts,0
vm-browserify,example/run/server.ts,1
vm-browserify,index.ts,15
weak-map,bench.ts,7
weak-map,weak-map.ts,19
websocket-extensions,lib/parser.ts,4
websocket-extensions,lib/pipeline/cell.ts,0
websocket-extensions,lib/pipeline/functor.ts,6
websocket-extensions,lib/pipeline/index.ts,3
websocket-extensions,lib/pipeline/pledge.ts,3
websocket-extensions,lib/pipeline/ring_buffer.ts,0
websocket-extensions,lib/websocket_extensions.ts,9
whatwg-fetch,fetch.ts,32
whatwg-fetch,prettier.config.ts,0
whatwg-fetch,rollup.config.ts,0
which-module,index.ts,0
wrappy,wrappy.ts,2
