"Package","Contains code","Is typed","Number of deps","Number of typed deps","Percentage of typed deps"
@eslint_eslintrc,True,False,9,3,0.33
@gar_promisify,True,False,0,0,NA
@humanwhocodes_config-array,True,False,3,2,0.67
@humanwhocodes_object-schema,True,False,0,0,NA
@istanbuljs_load-nyc-config,True,False,5,1,0.20
@istanbuljs_schema,True,False,0,0,NA
@jest_console,True,False,6,0,0.00
@jest_core,True,False,29,4,0.14
@jest_environment,True,False,4,0,0.00
@jest_expect,True,False,2,0,0.00
@jest_fake-timers,True,False,6,0,0.00
@jest_globals,True,False,3,0,0.00
@jest_reporters,True,False,24,8,0.33
@jest_source-map,True,False,3,1,0.33
@jest_test-result,True,False,4,0,0.00
@jest_test-sequencer,True,False,4,1,0.25
@jest_transform,True,False,15,4,0.27
@jest_types,True,False,5,0,0.00
@jridgewell_resolve-uri,True,False,0,0,NA
@jridgewell_sourcemap-code,True,False,0,0,NA
@jridgewell_trace-mapping,True,False,2,0,0.00
@nodelib_fs.scandir,True,False,2,1,0.50
@nodelib_fs.stat,True,False,0,0,NA
@nodelib_fs.walk,True,False,2,0,0.00
@npmcli_fs,True,False,2,1,0.50
@npmcli_move-file,True,False,2,2,1.00
@sellside_emitter,True,False,0,0,NA
@sindresorhus_is,True,False,0,0,NA
@sinonjs_commons,True,False,1,1,1.00
@sinonjs_fake-timers,True,True,1,0,0.00
@szmarczak_http-timer,True,False,1,0,0.00
@tokenizer_token,False,False,0,0,NA
@tootallnate_once,True,False,0,0,NA
@trysound_sax,True,False,0,0,NA
@tsconfig_node10,False,False,0,0,NA
@tsconfig_node12,False,False,0,0,NA
@tsconfig_node14,False,False,0,0,NA
@tsconfig_node16,False,False,0,0,NA
@types_babel__core,False,False,5,0,0.00
@types_babel__generator,False,False,1,0,0.00
@types_babel__template,False,False,2,0,0.00
@types_babel__traverse,False,False,1,0,0.00
@types_cacheable-request,False,False,4,0,0.00
@types_eslint,False,False,2,0,0.00
@types_eslint-scope,False,False,2,0,0.00
@types_estree,False,False,0,0,NA
@types_graceful-fs,False,False,1,0,0.00
@types_http-cache-semantics,False,False,0,0,NA
@types_http-proxy,False,False,1,0,0.00
@types_istanbul-lib-coverage,False,False,0,0,NA
@types_istanbul-lib-report,False,False,1,0,0.00
@types_istanbul-reports,False,False,1,0,0.00
@types_json-schema,False,False,0,0,NA
@types_json5,False,False,1,0,0.00
@types_keyv,False,False,1,0,0.00
@types_minimist,False,False,0,0,NA
@types_node,False,False,0,0,NA
@types_normalize-package-data,False,False,0,0,NA
@types_parse-json,False,False,0,0,NA
