Package,File,"Number of errors"
style-loader,src/cjs.ts,1
style-loader,src/index.ts,34
style-loader,src/runtime/injectStylesIntoLinkTag.ts,14
style-loader,src/runtime/injectStylesIntoStyleTag.ts,35
style-loader,src/runtime/insertBySelector.ts,6
style-loader,src/runtime/insertStyleElement.ts,5
style-loader,src/runtime/isEqualLocals.ts,3
style-loader,src/runtime/isOldIE.ts,0
style-loader,src/runtime/setAttributesWithAttributes.ts,6
style-loader,src/runtime/setAttributesWithAttributesAndNonce.ts,3
style-loader,src/runtime/setAttributesWithoutAttributes.ts,4
style-loader,src/runtime/singletonStyleDomAPI.ts,25
style-loader,src/runtime/styleDomAPI.ts,17
style-loader,src/runtime/styleTagTransform.ts,4
style-loader,src/utils.ts,52
to-arraybuffer,index.ts,1
toidentifier,index.ts,1
toidentifier,scripts/version-history.ts,11
tty-browserify,index.ts,2
unicode-match-property-value-ecmascript,data/mappings.ts,0
unicode-match-property-value-ecmascript,index.ts,2
unicode-match-property-value-ecmascript,scripts/build.ts,2
unicode-property-aliases-ecmascript,index.ts,0
unicode-property-aliases-ecmascript,scripts/build.ts,6
unpipe,index.ts,10
use,examples/app.ts,24
use,examples/layered.ts,22
use,gulpfile.ts,4
use,index.ts,31
v8-compile-cache,bench/_measure.ts,6
v8-compile-cache,bench/require-babel-core.ts,1
v8-compile-cache,bench/require-flow-parser.ts,1
v8-compile-cache,bench/require-rxjs-bundle.ts,1
v8-compile-cache,bench/require-rxjs-module.ts,1
v8-compile-cache,bench/require-yarn.ts,1
v8-compile-cache,v8-compile-cache.ts,108
vm-browserify,example/run/bundle.ts,70
vm-browserify,example/run/entry.ts,1
vm-browserify,example/run/server.ts,2
vm-browserify,index.ts,51
weak-map,bench.ts,11
weak-map,weak-map.ts,74
websocket-extensions,lib/parser.ts,26
websocket-extensions,lib/pipeline/cell.ts,11
websocket-extensions,lib/pipeline/functor.ts,16
websocket-extensions,lib/pipeline/index.ts,12
websocket-extensions,lib/pipeline/pledge.ts,11
websocket-extensions,lib/pipeline/ring_buffer.ts,0
websocket-extensions,lib/websocket_extensions.ts,62
whatwg-fetch,fetch.ts,161
whatwg-fetch,prettier.config.ts,0
whatwg-fetch,rollup.config.ts,0
which-module,index.ts,0
wrappy,wrappy.ts,7
