Dataset,dt.pct.pre,dt.pct.es6,ln.pct.pre,ln.pct.es6,ic.pct.pre,ic.pct.es6,sc.pct.pre,sc.pct.es6
"DefinitelyTyped, no deps",35.6,40.7,44.4,45.4,33.6,32.4,55.5,50.0
"DefinitelyTyped, with deps",25.0,34.1,35.7,45.0,19.0,15.2,51.9,54.8
Overall,31.7,39.5,42.3,45.3,28.6,28.3,54.5,50.9
