% DO NOT MODIFY: this file is generated by an R script
DefinitelyTyped, no deps & 43.7 & 39.5 & 26.6 & 27.4 & 69.7 & 59.9 & 73.5 & 66.0 \\
DefinitelyTyped, with deps & 51.2 & 37.4 & 24.9 & 20.2 & 50.0 & 51.7 & 49.2 & 49.1 \\
Never typed, no deps & 48.8 & 49.2 & 25.4 & 30.3 & 41.6 & 43.9 & 46.4 & 51.1 \\
Never typed, with deps & 64.5 & 36.2 & 8.6 & 4.7 & 11.6 & 87.9 & 12.1 & 87.9 \\
Overall & 47.5 & 40.3 & 22.8 & 21.7 & 57.2 & 62.9 & 59.8 & 66.5 \\
